LAT,LON,TIME,WIND,PR,STAT
14.40,-123.60,08/28/18Z,25,1010,TROPICAL DEPRESSION
14.50,-125.20,08/29/00Z,25,1010,TROPICAL DEPRESSION
14.80,-126.70,08/29/06Z,25,1010,TROPICAL DEPRESSION
15.00,-128.20,08/29/12Z,30,1009,TROPICAL DEPRESSION
15.30,-129.80,08/29/18Z,30,1009,TROPICAL DEPRESSION
15.70,-131.70,08/30/00Z,30,1008,TROPICAL DEPRESSION
15.90,-133.40,08/30/06Z,35,1007,TROPICAL STORM
16.10,-135.00,08/30/12Z,35,1005,TROPICAL STORM
16.10,-136.60,08/30/18Z,40,1002,TROPICAL STORM
16.10,-138.20,08/31/00Z,50,996,TROPICAL STORM
16.20,-139.80,08/31/06Z,60,992,TROPICAL STORM
16.30,-141.30,08/31/12Z,65,-,HURRICANE-1
16.40,-142.80,08/31/18Z,85,-,HURRICANE-2
16.50,-144.10,09/01/00Z,90,-,HURRICANE-2
16.50,-145.60,09/01/06Z,90,-,HURRICANE-2
16.50,-147.00,09/01/12Z,80,-,HURRICANE-1
16.30,-148.50,09/01/18Z,70,-,HURRICANE-1
16.00,-150.20,09/02/00Z,60,-,TROPICAL STORM
15.50,-151.70,09/02/06Z,50,-,TROPICAL STORM
15.00,-153.20,09/02/12Z,40,-,TROPICAL STORM
14.90,-154.70,09/02/18Z,35,-,TROPICAL STORM
14.80,-156.20,09/03/00Z,35,-,TROPICAL STORM
14.80,-157.60,09/03/06Z,35,-,TROPICAL STORM
14.80,-158.90,09/03/12Z,35,-,TROPICAL STORM
14.80,-160.00,09/03/18Z,30,-,TROPICAL DEPRESSION
14.70,-161.10,09/04/00Z,30,-,TROPICAL DEPRESSION
14.60,-162.00,09/04/06Z,30,-,TROPICAL DEPRESSION
14.50,-162.80,09/04/12Z,30,-,TROPICAL DEPRESSION
14.50,-163.40,09/04/18Z,30,-,TROPICAL DEPRESSION
14.50,-164.00,09/05/00Z,25,-,TROPICAL DEPRESSION
