LAT,LON,TIME,WIND,PR,STAT
13.50,-115.60,09/15/18Z,30,1009,TROPICAL DEPRESSION
13.80,-116.60,09/16/00Z,30,1009,TROPICAL DEPRESSION
14.00,-117.60,09/16/06Z,30,1009,TROPICAL DEPRESSION
14.30,-118.50,09/16/12Z,30,1008,TROPICAL DEPRESSION
14.60,-119.40,09/16/18Z,30,1007,TROPICAL DEPRESSION
14.80,-120.30,09/17/00Z,30,1006,TROPICAL DEPRESSION
14.80,-121.20,09/17/06Z,35,1005,TROPICAL STORM
15.00,-122.20,09/17/12Z,35,1004,TROPICAL STORM
15.30,-123.50,09/17/18Z,35,1003,TROPICAL STORM
15.80,-124.80,09/18/00Z,35,1002,TROPICAL STORM
16.30,-126.10,09/18/06Z,40,1002,TROPICAL STORM
16.70,-127.10,09/18/12Z,40,1002,TROPICAL STORM
16.80,-128.00,09/18/18Z,35,1002,TROPICAL STORM
16.70,-129.00,09/19/00Z,35,1003,TROPICAL STORM
16.50,-130.10,09/19/06Z,35,1004,TROPICAL STORM
16.20,-131.30,09/19/12Z,35,1005,TROPICAL STORM
16.00,-132.30,09/19/18Z,30,1006,TROPICAL DEPRESSION
15.80,-133.40,09/20/00Z,30,1007,TROPICAL DEPRESSION
15.50,-134.60,09/20/06Z,30,1008,TROPICAL DEPRESSION
15.30,-135.80,09/20/12Z,25,1009,TROPICAL DEPRESSION
15.20,-137.00,09/20/18Z,25,1010,TROPICAL DEPRESSION
15.00,-138.00,09/21/00Z,25,1010,TROPICAL DEPRESSION
14.90,-138.70,09/21/06Z,25,1011,TROPICAL DEPRESSION
14.90,-139.10,09/21/12Z,25,1011,TROPICAL DEPRESSION
