LAT,LON,TIME,WIND,PR,STAT
13.40,-103.50,08/30/12Z,25,1007,TROPICAL DEPRESSION
14.10,-104.60,08/30/18Z,25,1006,TROPICAL DEPRESSION
14.70,-105.50,08/31/00Z,30,1005,TROPICAL DEPRESSION
15.30,-106.30,08/31/06Z,30,1004,TROPICAL DEPRESSION
15.90,-107.10,08/31/12Z,30,1003,TROPICAL DEPRESSION
16.50,-107.70,08/31/18Z,30,1004,TROPICAL DEPRESSION
17.10,-108.40,09/01/00Z,30,1005,TROPICAL DEPRESSION
17.40,-108.80,09/01/06Z,30,1005,TROPICAL DEPRESSION
17.70,-109.10,09/01/12Z,30,1005,TROPICAL DEPRESSION
18.10,-109.30,09/01/18Z,30,1005,TROPICAL DEPRESSION
18.20,-109.80,09/02/00Z,30,1005,TROPICAL DEPRESSION
18.30,-110.20,09/02/06Z,35,1005,TROPICAL STORM
18.60,-110.20,09/02/12Z,35,1004,TROPICAL STORM
19.00,-110.00,09/02/18Z,35,1003,TROPICAL STORM
19.60,-110.10,09/03/00Z,40,1003,TROPICAL STORM
20.00,-110.70,09/03/06Z,40,1002,TROPICAL STORM
20.60,-111.10,09/03/12Z,45,1000,TROPICAL STORM
21.10,-111.40,09/03/18Z,50,997,TROPICAL STORM
21.70,-111.80,09/04/00Z,55,995,TROPICAL STORM
22.20,-112.10,09/04/06Z,55,994,TROPICAL STORM
22.70,-112.40,09/04/12Z,50,996,TROPICAL STORM
23.20,-112.60,09/04/18Z,40,1000,TROPICAL STORM
23.50,-112.70,09/05/00Z,35,1003,TROPICAL STORM
23.70,-112.80,09/05/06Z,35,1004,TROPICAL STORM
23.90,-112.90,09/05/12Z,30,1005,TROPICAL DEPRESSION
24.10,-113.00,09/05/18Z,30,1005,TROPICAL DEPRESSION
24.30,-113.10,09/06/00Z,30,1005,TROPICAL DEPRESSION
24.50,-113.20,09/06/06Z,25,1005,TROPICAL DEPRESSION
24.70,-113.30,09/06/12Z,25,1005,TROPICAL DEPRESSION
