LAT,LON,TIME,WIND,PR,STAT
12.60,-98.70,09/30/06Z,30,1004,TROPICAL DEPRESSION
12.60,-99.70,09/30/12Z,30,1003,TROPICAL DEPRESSION
12.90,-100.70,09/30/18Z,35,1003,TROPICAL STORM
13.40,-101.50,10/01/00Z,35,1002,TROPICAL STORM
14.10,-101.40,10/01/06Z,35,1001,TROPICAL STORM
14.70,-101.10,10/01/12Z,45,999,TROPICAL STORM
15.50,-101.30,10/01/18Z,50,995,TROPICAL STORM
16.10,-101.70,10/02/00Z,55,992,TROPICAL STORM
16.90,-102.30,10/02/06Z,65,987,HURRICANE-1
17.90,-103.10,10/02/12Z,75,980,HURRICANE-1
18.50,-103.90,10/02/18Z,70,981,HURRICANE-1
18.90,-104.60,10/03/00Z,65,985,HURRICANE-1
18.70,-104.90,10/03/06Z,65,987,HURRICANE-1
19.50,-104.90,10/03/12Z,60,989,TROPICAL STORM
20.10,-105.00,10/03/18Z,40,991,TROPICAL STORM
20.70,-105.10,10/04/00Z,30,994,TROPICAL DEPRESSION
21.10,-105.60,10/04/06Z,30,998,TROPICAL DEPRESSION
21.70,-105.60,10/04/12Z,25,1002,TROPICAL DEPRESSION
22.00,-105.50,10/04/18Z,25,1003,TROPICAL DEPRESSION
