LAT,LON,TIME,WIND,PR,STAT
12.50,-109.60,07/05/12Z,25,1006,TROPICAL DEPRESSION
13.00,-110.50,07/05/18Z,30,1003,TROPICAL DEPRESSION
13.30,-111.60,07/06/00Z,40,1000,TROPICAL STORM
13.50,-112.70,07/06/06Z,45,997,TROPICAL STORM
13.80,-113.80,07/06/12Z,55,996,TROPICAL STORM
14.20,-115.10,07/06/18Z,55,995,TROPICAL STORM
14.50,-116.30,07/07/00Z,55,993,TROPICAL STORM
14.80,-117.50,07/07/06Z,60,991,TROPICAL STORM
15.10,-118.70,07/07/12Z,65,988,HURRICANE-1
15.40,-119.90,07/07/18Z,70,985,HURRICANE-1
15.70,-121.20,07/08/00Z,75,981,HURRICANE-1
16.00,-122.30,07/08/06Z,75,979,HURRICANE-1
16.40,-123.70,07/08/12Z,75,979,HURRICANE-1
16.80,-125.00,07/08/18Z,75,979,HURRICANE-1
17.20,-126.30,07/09/00Z,75,978,HURRICANE-1
17.50,-127.50,07/09/06Z,80,975,HURRICANE-1
17.70,-128.70,07/09/12Z,75,977,HURRICANE-1
17.80,-130.00,07/09/18Z,70,979,HURRICANE-1
18.30,-131.30,07/10/00Z,65,984,HURRICANE-1
18.60,-132.60,07/10/06Z,60,989,TROPICAL STORM
18.70,-134.10,07/10/12Z,50,995,TROPICAL STORM
18.90,-135.50,07/10/18Z,40,1001,TROPICAL STORM
19.30,-136.90,07/11/00Z,35,1005,TROPICAL STORM
19.60,-138.00,07/11/06Z,30,1007,TROPICAL DEPRESSION
20.20,-138.90,07/11/12Z,30,1008,TROPICAL DEPRESSION
21.00,-140.00,07/11/18Z,30,1008,TROPICAL DEPRESSION
21.80,-141.20,07/12/00Z,30,1010,TROPICAL DEPRESSION
22.20,-142.70,07/12/06Z,30,1010,TROPICAL DEPRESSION
22.70,-144.10,07/12/12Z,30,1010,TROPICAL DEPRESSION
23.20,-145.20,07/12/18Z,25,1010,TROPICAL DEPRESSION
