LAT,LON,TIME,WIND,PR,STAT
11.00,-94.70,07/30/12Z,25,1010,TROPICAL DEPRESSION
11.30,-95.50,07/30/18Z,30,1009,TROPICAL DEPRESSION
11.60,-96.30,07/31/00Z,30,1008,TROPICAL DEPRESSION
11.90,-97.20,07/31/06Z,35,1005,TROPICAL STORM
12.10,-98.10,07/31/12Z,40,1002,TROPICAL STORM
12.20,-99.10,07/31/18Z,45,1000,TROPICAL STORM
12.40,-100.00,08/01/00Z,50,997,TROPICAL STORM
12.50,-101.00,08/01/06Z,55,994,TROPICAL STORM
12.60,-102.00,08/01/12Z,60,990,TROPICAL STORM
12.70,-103.00,08/01/18Z,65,987,HURRICANE-1
13.00,-104.00,08/02/00Z,70,983,HURRICANE-1
13.10,-105.00,08/02/06Z,75,979,HURRICANE-1
13.20,-106.10,08/02/12Z,90,969,HURRICANE-2
13.30,-107.10,08/02/18Z,105,959,HURRICANE-3
13.40,-108.10,08/03/00Z,115,947,HURRICANE-4
13.50,-109.10,08/03/06Z,125,935,HURRICANE-4
13.60,-110.20,08/03/12Z,135,925,HURRICANE-4
13.70,-111.40,08/03/18Z,130,927,HURRICANE-4
13.90,-112.60,08/04/00Z,130,929,HURRICANE-4
14.00,-113.90,08/04/06Z,130,928,HURRICANE-4
14.10,-115.20,08/04/12Z,135,925,HURRICANE-4
14.20,-116.60,08/04/18Z,140,921,HURRICANE-5
14.30,-118.00,08/05/00Z,140,919,HURRICANE-5
14.30,-119.50,08/05/06Z,140,920,HURRICANE-5
14.40,-120.90,08/05/12Z,140,921,HURRICANE-5
14.60,-122.40,08/05/18Z,135,925,HURRICANE-4
14.80,-123.80,08/06/00Z,130,930,HURRICANE-4
15.20,-125.20,08/06/06Z,125,938,HURRICANE-4
15.50,-126.70,08/06/12Z,115,948,HURRICANE-4
15.90,-128.20,08/06/18Z,110,954,HURRICANE-3
16.20,-129.60,08/07/00Z,100,960,HURRICANE-3
16.50,-130.90,08/07/06Z,90,970,HURRICANE-2
16.90,-132.00,08/07/12Z,80,979,HURRICANE-1
17.40,-133.00,08/07/18Z,70,983,HURRICANE-1
17.80,-134.10,08/08/00Z,65,987,HURRICANE-1
18.30,-135.10,08/08/06Z,60,990,TROPICAL STORM
18.90,-136.10,08/08/12Z,55,993,TROPICAL STORM
