LAT,LON,TIME,WIND,PR,STAT
17.70,-112.20,09/03/18Z,30,1009,TROPICAL DEPRESSION
18.20,-113.40,09/04/00Z,30,1007,TROPICAL DEPRESSION
18.70,-114.40,09/04/06Z,35,1004,TROPICAL STORM
19.20,-115.40,09/04/12Z,40,1001,TROPICAL STORM
19.60,-116.60,09/04/18Z,45,998,TROPICAL STORM
20.00,-117.80,09/05/00Z,50,995,TROPICAL STORM
20.40,-118.90,09/05/06Z,50,994,TROPICAL STORM
20.60,-120.00,09/05/12Z,50,995,TROPICAL STORM
20.60,-121.20,09/05/18Z,45,998,TROPICAL STORM
20.40,-122.30,09/06/00Z,35,1003,TROPICAL STORM
20.40,-123.40,09/06/06Z,30,1006,TROPICAL DEPRESSION
20.70,-124.50,09/06/12Z,30,1007,TROPICAL DEPRESSION
20.90,-125.60,09/06/18Z,25,1008,TROPICAL DEPRESSION
21.20,-126.80,09/07/00Z,25,1009,TROPICAL DEPRESSION
