LAT,LON,TIME,WIND,PR,STAT
11.80,-166.70,08/28/06Z,15,-,TROPICAL DEPRESSION
11.80,-167.10,08/28/12Z,25,-,TROPICAL DEPRESSION
11.80,-167.60,08/28/18Z,25,-,TROPICAL DEPRESSION
11.80,-168.10,08/29/00Z,25,-,TROPICAL DEPRESSION
11.80,-168.60,08/29/06Z,25,-,TROPICAL DEPRESSION
11.80,-169.00,08/29/12Z,25,-,TROPICAL DEPRESSION
11.90,-169.30,08/29/18Z,25,-,TROPICAL DEPRESSION
12.10,-169.50,08/30/00Z,25,-,TROPICAL DEPRESSION
12.30,-170.00,08/30/06Z,25,-,TROPICAL DEPRESSION
12.40,-170.60,08/30/12Z,25,-,TROPICAL DEPRESSION
12.40,-171.30,08/30/18Z,25,-,TROPICAL DEPRESSION
12.50,-172.00,08/31/00Z,25,-,TROPICAL DEPRESSION
12.60,-172.60,08/31/06Z,25,-,TROPICAL DEPRESSION
12.70,-173.10,08/31/12Z,25,-,TROPICAL DEPRESSION
12.70,-173.60,08/31/18Z,25,-,TROPICAL DEPRESSION
12.70,-174.10,09/01/00Z,25,-,TROPICAL DEPRESSION
12.70,-174.60,09/01/06Z,25,-,TROPICAL DEPRESSION
12.70,-175.20,09/01/12Z,25,-,TROPICAL DEPRESSION
12.70,-175.80,09/01/18Z,30,-,TROPICAL DEPRESSION
12.80,-176.40,09/02/00Z,30,-,TROPICAL DEPRESSION
13.00,-176.90,09/02/06Z,30,-,TROPICAL DEPRESSION
13.10,-177.30,09/02/12Z,30,-,TROPICAL DEPRESSION
13.20,-177.70,09/02/18Z,30,-,TROPICAL DEPRESSION
13.30,-178.20,09/03/00Z,35,-,TROPICAL STORM
13.30,-178.70,09/03/06Z,35,-,TROPICAL STORM
13.20,-179.20,09/03/12Z,35,-,TROPICAL STORM
13.10,-179.80,09/03/18Z,35,-,TROPICAL STORM
13.10,179.40,09/04/00Z,35,-,TROPICAL STORM
13.10,178.30,09/04/06Z,35,-,TROPICAL STORM
13.10,177.00,09/04/12Z,35,-,TROPICAL STORM
13.30,175.50,09/04/18Z,35,-,TROPICAL STORM
13.70,174.00,09/05/00Z,35,-,TROPICAL STORM
14.20,172.90,09/05/06Z,35,-,TROPICAL STORM
14.60,172.10,09/05/12Z,35,-,TROPICAL STORM
15.00,171.30,09/05/18Z,35,-,TROPICAL STORM
15.50,170.40,09/06/00Z,35,-,TROPICAL STORM
16.00,169.90,09/06/06Z,35,-,TROPICAL STORM
16.40,167.80,09/06/12Z,35,-,TROPICAL STORM
16.70,166.50,09/06/18Z,40,-,TROPICAL STORM
17.00,165.30,09/07/00Z,45,-,TROPICAL STORM
17.30,164.30,09/07/06Z,50,-,TROPICAL STORM
17.50,163.40,09/07/12Z,55,-,TROPICAL STORM
17.70,162.60,09/07/18Z,60,-,TROPICAL STORM
17.90,161.80,09/08/00Z,60,-,TROPICAL STORM
18.00,161.00,09/08/06Z,65,-,HURRICANE-1
18.10,159.90,09/08/12Z,65,-,HURRICANE-1
18.10,158.70,09/08/18Z,75,-,HURRICANE-1
18.10,157.50,09/09/00Z,90,-,HURRICANE-2
18.10,156.20,09/09/06Z,105,-,HURRICANE-3
18.20,154.90,09/09/12Z,125,-,HURRICANE-4
18.40,153.50,09/09/18Z,140,-,HURRICANE-5
18.60,152.10,09/10/00Z,140,-,HURRICANE-5
18.90,150.80,09/10/06Z,140,-,HURRICANE-5
19.10,149.40,09/10/12Z,140,-,HURRICANE-5
19.30,148.00,09/10/18Z,140,-,HURRICANE-5
19.50,146.60,09/11/00Z,140,-,HURRICANE-5
19.90,145.30,09/11/06Z,140,-,HURRICANE-5
20.30,144.00,09/11/12Z,135,-,HURRICANE-4
20.80,142.70,09/11/18Z,130,-,HURRICANE-4
21.30,141.40,09/12/00Z,125,-,HURRICANE-4
21.90,140.10,09/12/06Z,125,-,HURRICANE-4
22.50,138.70,09/12/12Z,120,-,HURRICANE-4
23.20,137.40,09/12/18Z,115,-,HURRICANE-4
24.00,136.10,09/13/00Z,105,-,HURRICANE-3
24.90,134.90,09/13/06Z,105,-,HURRICANE-3
25.70,133.80,09/13/12Z,100,-,HURRICANE-3
26.50,132.60,09/13/18Z,100,-,HURRICANE-3
27.30,131.50,09/14/00Z,95,-,HURRICANE-2
27.90,130.60,09/14/06Z,90,-,HURRICANE-2
28.30,130.00,09/14/12Z,90,-,HURRICANE-2
28.60,129.70,09/14/18Z,85,-,HURRICANE-2
28.90,129.50,09/15/00Z,85,-,HURRICANE-2
29.30,129.50,09/15/06Z,85,-,HURRICANE-2
29.90,129.70,09/15/12Z,80,-,HURRICANE-1
30.60,130.10,09/15/18Z,75,-,HURRICANE-1
31.60,130.70,09/16/00Z,70,-,HURRICANE-1
33.00,131.70,09/16/06Z,65,-,HURRICANE-1
34.10,133.10,09/16/12Z,60,-,TROPICAL STORM
35.10,134.60,09/16/18Z,45,-,TROPICAL STORM
36.20,136.20,09/17/00Z,35,-,TROPICAL STORM
37.70,138.40,09/17/06Z,25,-,TROPICAL DEPRESSION
