LAT,LON,TIME,WIND,PR,STAT
13.30,-99.20,05/22/12Z,25,1005,TROPICAL DEPRESSION
13.90,-100.20,05/22/18Z,30,1004,TROPICAL DEPRESSION
14.30,-101.10,05/23/00Z,30,1003,TROPICAL DEPRESSION
14.50,-101.80,05/23/06Z,35,1002,TROPICAL STORM
14.50,-102.50,05/23/12Z,40,1001,TROPICAL STORM
14.50,-103.10,05/23/18Z,45,1000,TROPICAL STORM
14.60,-103.70,05/24/00Z,50,997,TROPICAL STORM
14.60,-104.30,05/24/06Z,60,990,TROPICAL STORM
14.70,-105.10,05/24/12Z,70,983,HURRICANE-1
14.80,-105.90,05/24/18Z,90,975,HURRICANE-2
14.90,-106.60,05/25/00Z,90,970,HURRICANE-2
15.00,-107.30,05/25/06Z,90,972,HURRICANE-2
15.10,-107.70,05/25/12Z,85,974,HURRICANE-2
15.00,-107.70,05/25/18Z,85,975,HURRICANE-2
14.80,-107.70,05/26/00Z,80,977,HURRICANE-1
14.80,-107.60,05/26/06Z,75,979,HURRICANE-1
14.80,-107.50,05/26/12Z,70,980,HURRICANE-1
15.00,-107.80,05/26/18Z,65,985,HURRICANE-1
14.80,-107.80,05/27/00Z,60,990,TROPICAL STORM
15.10,-107.50,05/27/06Z,55,995,TROPICAL STORM
15.40,-107.40,05/27/12Z,45,1000,TROPICAL STORM
15.60,-107.50,05/27/18Z,30,1004,TROPICAL DEPRESSION
16.10,-107.50,05/28/00Z,25,1005,TROPICAL DEPRESSION
