LAT,LON,TIME,WIND,PR,STAT
13.10,-105.90,06/13/06Z,30,1002,TROPICAL DEPRESSION
13.90,-106.60,06/13/12Z,35,1000,TROPICAL STORM
14.40,-107.40,06/13/18Z,40,999,TROPICAL STORM
14.90,-108.30,06/14/00Z,45,997,TROPICAL STORM
15.50,-109.10,06/14/06Z,45,994,TROPICAL STORM
16.30,-109.40,06/14/12Z,45,994,TROPICAL STORM
17.10,-109.70,06/14/18Z,45,994,TROPICAL STORM
17.80,-110.10,06/15/00Z,40,995,TROPICAL STORM
18.30,-110.40,06/15/06Z,40,995,TROPICAL STORM
18.90,-110.70,06/15/12Z,40,995,TROPICAL STORM
19.40,-110.90,06/15/18Z,40,996,TROPICAL STORM
19.70,-111.10,06/16/00Z,35,998,TROPICAL STORM
19.90,-111.30,06/16/06Z,35,998,TROPICAL STORM
19.90,-111.20,06/16/12Z,30,998,TROPICAL DEPRESSION
19.80,-111.00,06/16/18Z,30,998,TROPICAL DEPRESSION
19.80,-110.80,06/17/00Z,30,998,TROPICAL DEPRESSION
19.80,-110.60,06/17/06Z,25,1000,TROPICAL DEPRESSION
20.20,-110.50,06/17/12Z,25,1002,TROPICAL DEPRESSION
