LAT,LON,TIME,WIND,PR,STAT
17.80,-106.60,08/10/18Z,25,1006,TROPICAL DEPRESSION
17.70,-108.10,08/11/00Z,25,1005,TROPICAL DEPRESSION
17.90,-109.20,08/11/06Z,25,1003,TROPICAL DEPRESSION
18.10,-110.40,08/11/12Z,30,1003,TROPICAL DEPRESSION
18.30,-111.70,08/11/18Z,30,1003,TROPICAL DEPRESSION
18.50,-112.90,08/12/00Z,35,1002,TROPICAL STORM
18.50,-114.10,08/12/06Z,40,1001,TROPICAL STORM
18.40,-115.10,08/12/12Z,45,999,TROPICAL STORM
18.20,-115.80,08/12/18Z,50,997,TROPICAL STORM
18.10,-116.50,08/13/00Z,50,996,TROPICAL STORM
18.20,-117.20,08/13/06Z,55,994,TROPICAL STORM
18.20,-117.70,08/13/12Z,55,993,TROPICAL STORM
18.30,-118.10,08/13/18Z,60,990,TROPICAL STORM
18.40,-118.40,08/14/00Z,65,986,HURRICANE-1
18.70,-118.90,08/14/06Z,65,985,HURRICANE-1
19.10,-119.30,08/14/12Z,70,983,HURRICANE-1
19.50,-119.90,08/14/18Z,70,984,HURRICANE-1
20.00,-120.50,08/15/00Z,65,987,HURRICANE-1
20.30,-121.20,08/15/06Z,60,990,TROPICAL STORM
20.30,-122.10,08/15/12Z,55,994,TROPICAL STORM
20.20,-123.00,08/15/18Z,45,998,TROPICAL STORM
20.00,-123.90,08/16/00Z,35,1000,TROPICAL STORM
20.00,-125.00,08/16/06Z,30,1004,TROPICAL DEPRESSION
20.00,-126.60,08/16/12Z,25,1005,TROPICAL DEPRESSION
20.00,-128.00,08/16/18Z,25,1006,TROPICAL DEPRESSION
