LAT,LON,TIME,WIND,PR,STAT
11.90,-126.50,06/20/00Z,30,1008,TROPICAL DEPRESSION
12.30,-127.80,06/20/06Z,30,1008,TROPICAL DEPRESSION
12.70,-129.10,06/20/12Z,30,1007,TROPICAL DEPRESSION
13.20,-130.40,06/20/18Z,35,1005,TROPICAL STORM
13.70,-131.60,06/21/00Z,40,1003,TROPICAL STORM
14.20,-132.80,06/21/06Z,45,1000,TROPICAL STORM
14.70,-134.10,06/21/12Z,50,997,TROPICAL STORM
15.10,-135.30,06/21/18Z,45,999,TROPICAL STORM
15.60,-136.50,06/22/00Z,45,1001,TROPICAL STORM
16.10,-137.80,06/22/06Z,40,1003,TROPICAL STORM
16.50,-139.00,06/22/12Z,35,1005,TROPICAL STORM
16.80,-140.10,06/22/18Z,30,1006,TROPICAL DEPRESSION
17.30,-141.20,06/23/00Z,30,1006,TROPICAL DEPRESSION
17.70,-142.60,06/23/06Z,30,1007,TROPICAL DEPRESSION
18.00,-143.70,06/23/12Z,25,1009,TROPICAL DEPRESSION
18.20,-145.00,06/23/18Z,25,1011,TROPICAL DEPRESSION
18.80,-146.30,06/24/00Z,25,1011,TROPICAL DEPRESSION
19.30,-147.60,06/24/06Z,25,1011,TROPICAL DEPRESSION
19.80,-148.90,06/24/12Z,25,1011,TROPICAL DEPRESSION
20.30,-150.30,06/24/18Z,25,1012,TROPICAL DEPRESSION
20.70,-151.80,06/25/00Z,25,1012,TROPICAL DEPRESSION
21.10,-153.20,06/25/06Z,25,1013,TROPICAL DEPRESSION
21.60,-155.00,06/25/12Z,25,1014,TROPICAL DEPRESSION
22.20,-156.90,06/25/18Z,25,1014,TROPICAL DEPRESSION
22.60,-158.90,06/26/00Z,25,1014,TROPICAL DEPRESSION
23.10,-161.00,06/26/06Z,25,1014,TROPICAL DEPRESSION
