LAT,LON,TIME,WIND,PR,STAT
19.10,-108.50,08/26/06Z,30,1004,TROPICAL DEPRESSION
19.70,-109.70,08/26/12Z,30,1004,TROPICAL DEPRESSION
20.00,-110.60,08/26/18Z,35,1003,TROPICAL STORM
20.10,-111.60,08/27/00Z,40,1002,TROPICAL STORM
20.20,-112.50,08/27/06Z,45,1000,TROPICAL STORM
20.10,-113.30,08/27/12Z,55,994,TROPICAL STORM
19.90,-113.80,08/27/18Z,65,989,HURRICANE-1
19.50,-114.10,08/28/00Z,65,989,HURRICANE-1
19.20,-114.30,08/28/06Z,65,989,HURRICANE-1
19.10,-114.30,08/28/12Z,70,985,HURRICANE-1
19.40,-114.70,08/28/18Z,70,985,HURRICANE-1
19.80,-115.10,08/29/00Z,75,983,HURRICANE-1
20.10,-115.40,08/29/06Z,80,980,HURRICANE-1
20.60,-116.20,08/29/12Z,85,977,HURRICANE-2
20.90,-116.60,08/29/18Z,90,972,HURRICANE-2
21.50,-117.10,08/30/00Z,85,975,HURRICANE-2
21.90,-117.70,08/30/06Z,80,979,HURRICANE-1
22.40,-118.00,08/30/12Z,70,983,HURRICANE-1
22.90,-118.10,08/30/18Z,65,987,HURRICANE-1
23.40,-118.40,08/31/00Z,65,989,HURRICANE-1
23.60,-118.60,08/31/06Z,60,994,TROPICAL STORM
23.90,-118.90,08/31/12Z,55,997,TROPICAL STORM
24.30,-119.20,08/31/18Z,50,999,TROPICAL STORM
24.80,-119.30,09/01/00Z,40,1002,TROPICAL STORM
25.20,-119.10,09/01/06Z,35,1005,TROPICAL STORM
25.60,-118.90,09/01/12Z,30,1005,TROPICAL DEPRESSION
26.00,-118.60,09/01/18Z,30,1006,TROPICAL DEPRESSION
26.60,-118.40,09/02/00Z,25,1007,TROPICAL DEPRESSION
