LAT,LON,TIME,WIND,PR,STAT
14.10,-99.20,10/10/12Z,30,1007,TROPICAL DEPRESSION
14.00,-100.60,10/10/18Z,30,1006,TROPICAL DEPRESSION
14.40,-102.00,10/11/00Z,30,1006,TROPICAL DEPRESSION
14.70,-103.30,10/11/06Z,35,1005,TROPICAL STORM
15.20,-104.70,10/11/12Z,40,1003,TROPICAL STORM
15.70,-105.90,10/11/18Z,45,1000,TROPICAL STORM
15.90,-107.30,10/12/00Z,45,1000,TROPICAL STORM
15.70,-108.40,10/12/06Z,40,1003,TROPICAL STORM
15.40,-109.50,10/12/12Z,30,1005,TROPICAL DEPRESSION
14.90,-110.50,10/12/18Z,30,1005,TROPICAL DEPRESSION
14.80,-111.20,10/13/00Z,30,1005,TROPICAL DEPRESSION
14.60,-111.90,10/13/06Z,30,1005,TROPICAL DEPRESSION
14.30,-112.60,10/13/12Z,30,1005,TROPICAL DEPRESSION
14.10,-113.00,10/13/18Z,30,1005,TROPICAL DEPRESSION
13.90,-113.30,10/14/00Z,30,1005,TROPICAL DEPRESSION
13.90,-113.60,10/14/06Z,30,1005,TROPICAL DEPRESSION
14.00,-113.80,10/14/12Z,30,1005,TROPICAL DEPRESSION
14.30,-113.90,10/14/18Z,30,1005,TROPICAL DEPRESSION
14.70,-114.10,10/15/00Z,30,1005,TROPICAL DEPRESSION
15.30,-114.40,10/15/06Z,35,1004,TROPICAL STORM
15.90,-114.80,10/15/12Z,35,1004,TROPICAL STORM
16.50,-115.30,10/15/18Z,35,1004,TROPICAL STORM
17.10,-115.90,10/16/00Z,40,1002,TROPICAL STORM
17.50,-116.90,10/16/06Z,45,1000,TROPICAL STORM
18.00,-118.10,10/16/12Z,50,997,TROPICAL STORM
18.60,-119.30,10/16/18Z,45,1000,TROPICAL STORM
19.20,-120.20,10/17/00Z,45,1000,TROPICAL STORM
19.80,-120.80,10/17/06Z,40,1003,TROPICAL STORM
20.50,-121.30,10/17/12Z,35,1005,TROPICAL STORM
21.10,-121.60,10/17/18Z,30,1007,TROPICAL DEPRESSION
21.80,-121.80,10/18/00Z,25,1009,TROPICAL DEPRESSION
