LAT,LON,TIME,WIND,PR,STAT
11.40,-99.40,10/22/00Z,30,1006,TROPICAL DEPRESSION
11.50,-100.40,10/22/06Z,35,1004,TROPICAL STORM
11.70,-101.40,10/22/12Z,35,1003,TROPICAL STORM
12.10,-102.50,10/22/18Z,35,1003,TROPICAL STORM
12.60,-103.60,10/23/00Z,40,1002,TROPICAL STORM
13.10,-104.60,10/23/06Z,50,997,TROPICAL STORM
13.60,-105.70,10/23/12Z,60,990,TROPICAL STORM
14.20,-106.90,10/23/18Z,75,980,HURRICANE-1
14.90,-108.00,10/24/00Z,90,970,HURRICANE-2
15.50,-108.50,10/24/06Z,105,955,HURRICANE-3
16.40,-108.80,10/24/12Z,125,935,HURRICANE-4
17.30,-108.80,10/24/18Z,140,917,HURRICANE-5
18.30,-108.30,10/25/00Z,145,913,HURRICANE-5
19.30,-107.50,10/25/06Z,145,915,HURRICANE-5
20.40,-106.50,10/25/12Z,130,939,HURRICANE-4
22.10,-105.10,10/25/18Z,100,960,HURRICANE-3
23.70,-103.50,10/26/00Z,35,1000,TROPICAL STORM
