LAT,LON,TIME,WIND,PR,STAT
12.50,-136.50,08/11/00Z,25,1009,TROPICAL DEPRESSION
12.40,-138.80,08/11/06Z,25,1009,TROPICAL DEPRESSION
12.30,-140.80,08/11/12Z,25,1009,TROPICAL DEPRESSION
12.00,-142.40,08/11/18Z,25,1009,TROPICAL DEPRESSION
11.70,-143.70,08/12/00Z,25,1009,TROPICAL DEPRESSION
11.50,-144.50,08/12/06Z,25,1009,TROPICAL DEPRESSION
11.40,-144.90,08/12/12Z,25,1009,TROPICAL DEPRESSION
11.20,-145.20,08/12/18Z,25,1009,TROPICAL DEPRESSION
11.00,-145.40,08/13/00Z,25,1009,TROPICAL DEPRESSION
11.00,-145.00,08/13/06Z,25,1009,TROPICAL DEPRESSION
11.60,-144.40,08/13/12Z,25,1009,TROPICAL DEPRESSION
12.30,-144.00,08/13/18Z,25,1009,TROPICAL DEPRESSION
13.10,-143.80,08/14/00Z,25,1009,TROPICAL DEPRESSION
13.90,-143.70,08/14/06Z,25,1009,TROPICAL DEPRESSION
14.20,-144.10,08/14/12Z,25,1009,TROPICAL DEPRESSION
14.10,-145.00,08/14/18Z,25,1009,TROPICAL DEPRESSION
14.00,-146.60,08/15/00Z,25,1009,TROPICAL DEPRESSION
13.70,-148.00,08/15/06Z,25,1009,TROPICAL DEPRESSION
13.60,-149.30,08/15/12Z,25,1009,TROPICAL DEPRESSION
13.80,-151.00,08/15/18Z,30,1009,TROPICAL DEPRESSION
13.90,-152.90,08/16/00Z,30,1009,TROPICAL DEPRESSION
14.20,-154.50,08/16/06Z,30,1009,TROPICAL DEPRESSION
14.40,-155.70,08/16/12Z,30,1009,TROPICAL DEPRESSION
14.60,-156.80,08/16/18Z,25,1010,TROPICAL DEPRESSION
14.70,-158.10,08/17/00Z,25,1010,TROPICAL DEPRESSION
