LAT,LON,TIME,WIND,PR,STAT
15.90,-103.20,06/17/00Z,25,1007,TROPICAL DEPRESSION
16.20,-103.30,06/17/06Z,30,1006,TROPICAL DEPRESSION
16.40,-103.40,06/17/12Z,30,1004,TROPICAL DEPRESSION
16.50,-103.50,06/17/18Z,35,1001,TROPICAL STORM
16.60,-103.60,06/18/00Z,45,1000,TROPICAL STORM
16.70,-103.80,06/18/06Z,45,1000,TROPICAL STORM
16.70,-104.00,06/18/12Z,45,1000,TROPICAL STORM
16.70,-104.30,06/18/18Z,50,997,TROPICAL STORM
16.60,-104.50,06/19/00Z,45,998,TROPICAL STORM
16.50,-104.60,06/19/06Z,45,1000,TROPICAL STORM
16.40,-104.70,06/19/12Z,45,1000,TROPICAL STORM
16.10,-104.90,06/19/18Z,45,1000,TROPICAL STORM
15.90,-105.10,06/20/00Z,40,1002,TROPICAL STORM
15.70,-105.40,06/20/06Z,35,1004,TROPICAL STORM
15.60,-105.70,06/20/12Z,35,1004,TROPICAL STORM
15.50,-106.00,06/20/18Z,30,1006,TROPICAL DEPRESSION
15.30,-106.30,06/21/00Z,25,1006,TROPICAL DEPRESSION
15.40,-106.20,06/21/06Z,25,1007,TROPICAL DEPRESSION
15.50,-106.10,06/21/12Z,25,1008,TROPICAL DEPRESSION
15.50,-106.00,06/21/18Z,25,1008,TROPICAL DEPRESSION
15.60,-105.70,06/22/00Z,25,1009,TROPICAL DEPRESSION
15.70,-105.20,06/22/06Z,25,1010,TROPICAL DEPRESSION
15.80,-104.90,06/22/12Z,20,1009,LOW
15.90,-104.50,06/22/18Z,20,1009,LOW
16.00,-104.10,06/23/00Z,20,1009,LOW
16.10,-103.90,06/23/06Z,20,1009,LOW
16.20,-103.80,06/23/12Z,20,1009,LOW
16.40,-103.70,06/23/18Z,20,1009,LOW
16.60,-103.60,06/24/00Z,20,1009,LOW
17.10,-103.80,06/24/06Z,20,1009,LOW
17.50,-104.30,06/24/12Z,20,1008,LOW
