LAT,LON,TIME,WIND,PR,STAT
20.50,-107.00,08/22/12Z,30,1008,TROPICAL DEPRESSION
20.70,-107.30,08/22/18Z,30,1007,TROPICAL DEPRESSION
21.00,-107.50,08/23/00Z,35,1005,TROPICAL STORM
21.30,-107.80,08/23/06Z,40,1002,TROPICAL STORM
21.50,-108.20,08/23/12Z,45,1000,TROPICAL STORM
21.80,-108.60,08/23/18Z,55,992,TROPICAL STORM
22.20,-108.70,08/24/00Z,60,989,TROPICAL STORM
22.60,-108.80,08/24/06Z,70,984,HURRICANE-1
23.10,-108.90,08/24/12Z,90,970,HURRICANE-2
23.50,-109.00,08/24/18Z,90,970,HURRICANE-2
23.70,-109.20,08/25/00Z,85,973,HURRICANE-2
23.90,-109.50,08/25/06Z,80,976,HURRICANE-1
24.10,-109.80,08/25/12Z,75,980,HURRICANE-1
24.20,-110.10,08/25/18Z,70,985,HURRICANE-1
24.40,-110.40,08/26/00Z,65,989,HURRICANE-1
24.60,-110.80,08/26/06Z,60,991,TROPICAL STORM
24.90,-111.00,08/26/12Z,50,998,TROPICAL STORM
25.20,-111.30,08/26/18Z,30,1000,TROPICAL DEPRESSION
25.50,-111.60,08/27/00Z,30,1001,TROPICAL DEPRESSION
25.90,-112.10,08/27/06Z,25,1007,TROPICAL DEPRESSION
26.40,-112.50,08/27/12Z,25,1007,TROPICAL DEPRESSION
26.90,-113.00,08/27/18Z,20,1008,TROPICAL DEPRESSION
