LAT,LON,TIME,WIND,PR,STAT
14.70,-108.20,09/13/18Z,25,1007,TROPICAL DEPRESSION
15.20,-108.60,09/14/00Z,30,1005,TROPICAL DEPRESSION
15.80,-109.10,09/14/06Z,30,1005,TROPICAL DEPRESSION
16.50,-109.60,09/14/12Z,35,1004,TROPICAL STORM
17.10,-110.30,09/14/18Z,40,1001,TROPICAL STORM
17.70,-111.00,09/15/00Z,45,1000,TROPICAL STORM
18.30,-111.80,09/15/06Z,55,994,TROPICAL STORM
19.00,-112.50,09/15/12Z,65,987,HURRICANE-1
19.70,-113.20,09/15/18Z,65,987,HURRICANE-1
20.10,-114.00,09/16/00Z,60,990,TROPICAL STORM
20.50,-114.80,09/16/06Z,55,994,TROPICAL STORM
20.70,-115.30,09/16/12Z,45,1000,TROPICAL STORM
20.70,-115.90,09/16/18Z,40,1002,TROPICAL STORM
20.50,-116.40,09/17/00Z,35,1004,TROPICAL STORM
20.40,-116.60,09/17/06Z,30,1005,TROPICAL DEPRESSION
20.30,-116.80,09/17/12Z,30,1007,TROPICAL DEPRESSION
20.20,-117.00,09/17/18Z,25,1007,TROPICAL DEPRESSION
20.00,-117.20,09/18/00Z,25,1007,LOW
19.60,-117.40,09/18/06Z,25,1007,LOW
19.20,-117.60,09/18/12Z,25,1007,LOW
18.90,-117.80,09/18/18Z,25,1007,LOW
18.70,-118.10,09/19/00Z,25,1007,LOW
18.60,-118.50,09/19/06Z,25,1007,LOW
18.50,-118.90,09/19/12Z,25,1007,LOW
18.40,-119.30,09/19/18Z,25,1007,LOW
18.20,-119.70,09/20/00Z,25,1007,LOW
18.00,-120.00,09/20/06Z,25,1007,LOW
17.80,-120.10,09/20/12Z,25,1006,LOW
17.60,-120.20,09/20/18Z,25,1006,LOW
17.30,-120.20,09/21/00Z,25,1007,LOW
17.00,-120.30,09/21/06Z,20,1008,LOW
16.80,-120.40,09/21/12Z,20,1009,LOW
16.60,-120.50,09/21/18Z,20,1009,LOW
16.40,-120.70,09/22/00Z,20,1009,LOW
16.20,-120.80,09/22/06Z,20,1009,LOW
16.00,-120.80,09/22/12Z,20,1009,LOW
15.70,-120.80,09/22/18Z,20,1009,LOW
15.50,-120.60,09/23/00Z,20,1009,LOW
15.50,-120.60,09/23/06Z,20,1009,LOW
