LAT,LON,TIME,WIND,PR,STAT
14.60,-105.50,07/12/12Z,30,1006,TROPICAL DEPRESSION
15.50,-106.80,07/12/18Z,35,1002,TROPICAL STORM
16.40,-108.00,07/13/00Z,45,997,TROPICAL STORM
17.30,-109.30,07/13/06Z,50,994,TROPICAL STORM
18.40,-110.80,07/13/12Z,55,991,TROPICAL STORM
19.60,-112.20,07/13/18Z,50,994,TROPICAL STORM
20.70,-113.70,07/14/00Z,45,997,TROPICAL STORM
21.50,-115.10,07/14/06Z,40,999,TROPICAL STORM
22.10,-116.60,07/14/12Z,35,1002,TROPICAL STORM
22.50,-117.90,07/14/18Z,30,1004,TROPICAL DEPRESSION
22.90,-119.20,07/15/00Z,30,1005,TROPICAL DEPRESSION
23.20,-120.40,07/15/06Z,30,1006,LOW
23.40,-121.40,07/15/12Z,25,1007,LOW
23.60,-122.30,07/15/18Z,25,1008,LOW
23.80,-123.30,07/16/00Z,25,1008,LOW
24.00,-124.50,07/16/06Z,25,1008,LOW
24.10,-125.50,07/16/12Z,20,1008,LOW
24.20,-126.30,07/16/18Z,20,1008,LOW
24.40,-127.00,07/17/00Z,20,1009,LOW
24.80,-127.50,07/17/06Z,20,1009,LOW
25.20,-127.80,07/17/12Z,20,1009,LOW
25.60,-128.10,07/17/18Z,15,1010,LOW
26.00,-128.30,07/18/00Z,15,1010,LOW
26.40,-128.40,07/18/06Z,15,1011,LOW
26.70,-128.20,07/18/12Z,15,1012,LOW
26.90,-127.90,07/18/18Z,15,1013,LOW
26.90,-127.60,07/19/00Z,15,1014,LOW
26.90,-127.30,07/19/06Z,15,1015,LOW
