LAT,LON,TIME,WIND,PR,STAT
14.40,-113.10,07/19/00Z,30,1008,TROPICAL DEPRESSION
14.50,-114.00,07/19/06Z,30,1008,TROPICAL DEPRESSION
14.70,-114.90,07/19/12Z,35,1005,TROPICAL STORM
14.90,-115.70,07/19/18Z,45,1000,TROPICAL STORM
15.00,-116.30,07/20/00Z,45,1000,TROPICAL STORM
15.20,-116.90,07/20/06Z,45,1000,TROPICAL STORM
15.30,-117.40,07/20/12Z,45,1000,TROPICAL STORM
15.50,-118.00,07/20/18Z,50,997,TROPICAL STORM
15.90,-118.70,07/21/00Z,50,997,TROPICAL STORM
16.00,-119.30,07/21/06Z,50,997,TROPICAL STORM
16.10,-119.80,07/21/12Z,55,994,TROPICAL STORM
16.20,-120.50,07/21/18Z,60,991,TROPICAL STORM
16.30,-121.00,07/22/00Z,65,987,HURRICANE-1
16.30,-121.50,07/22/06Z,75,981,HURRICANE-1
16.30,-122.20,07/22/12Z,70,984,HURRICANE-1
16.30,-123.00,07/22/18Z,60,990,TROPICAL STORM
16.30,-123.90,07/23/00Z,50,997,TROPICAL STORM
16.20,-124.60,07/23/06Z,40,1002,TROPICAL STORM
16.10,-125.30,07/23/12Z,35,1004,TROPICAL STORM
16.10,-126.10,07/23/18Z,35,1004,TROPICAL STORM
16.40,-126.90,07/24/00Z,35,1004,TROPICAL STORM
16.70,-127.60,07/24/06Z,35,1004,TROPICAL STORM
17.00,-128.40,07/24/12Z,30,1005,TROPICAL DEPRESSION
17.30,-129.60,07/24/18Z,30,1005,TROPICAL DEPRESSION
17.60,-130.70,07/25/00Z,30,1006,TROPICAL DEPRESSION
17.90,-131.90,07/25/06Z,30,1006,TROPICAL DEPRESSION
18.40,-133.00,07/25/12Z,30,1006,TROPICAL DEPRESSION
18.70,-134.10,07/25/18Z,25,1007,TROPICAL DEPRESSION
19.10,-135.20,07/26/00Z,25,1009,LOW
19.10,-136.60,07/26/06Z,25,1010,LOW
