LAT,LON,TIME,WIND,PR,STAT
12.70,-97.20,06/26/06Z,25,1004,TROPICAL DEPRESSION
13.00,-97.70,06/26/12Z,25,1004,TROPICAL DEPRESSION
13.50,-97.90,06/26/18Z,35,1003,TROPICAL STORM
14.00,-98.00,06/27/00Z,35,1003,TROPICAL STORM
14.40,-98.40,06/27/06Z,40,1001,TROPICAL STORM
14.70,-99.40,06/27/12Z,45,1000,TROPICAL STORM
15.10,-100.20,06/27/18Z,45,1000,TROPICAL STORM
15.50,-101.10,06/28/00Z,40,1002,TROPICAL STORM
15.80,-102.30,06/28/06Z,35,1004,TROPICAL STORM
15.90,-103.60,06/28/12Z,30,1005,TROPICAL DEPRESSION
15.50,-104.40,06/28/18Z,25,1006,TROPICAL DEPRESSION
15.10,-105.10,06/29/00Z,25,1006,TROPICAL DEPRESSION
14.70,-105.40,06/29/06Z,20,1006,LOW
14.50,-105.90,06/29/12Z,20,1005,LOW
14.50,-106.70,06/29/18Z,20,1004,LOW
14.70,-107.50,06/30/00Z,25,1003,LOW
14.80,-108.00,06/30/06Z,25,1005,LOW
15.00,-108.30,06/30/12Z,25,1006,LOW
15.40,-108.70,06/30/18Z,25,1006,LOW
15.90,-109.30,07/01/00Z,25,1006,LOW
17.00,-110.00,07/01/06Z,25,1006,LOW
18.00,-110.90,07/01/12Z,25,1006,LOW
18.70,-112.20,07/01/18Z,20,1006,LOW
19.30,-113.50,07/02/00Z,20,1006,LOW
20.20,-114.50,07/02/06Z,20,1006,LOW
21.00,-115.60,07/02/12Z,20,1007,LOW
21.20,-117.10,07/02/18Z,20,1008,LOW
21.20,-118.70,07/03/00Z,20,1008,LOW
21.10,-120.30,07/03/06Z,20,1009,LOW
21.00,-122.00,07/03/12Z,20,1009,LOW
