LAT,LON,TIME,WIND,PR,STAT
13.50,-107.70,09/17/12Z,20,1009,DISTURBANCE
13.90,-110.10,09/17/18Z,20,1009,DISTURBANCE
14.30,-111.40,09/18/00Z,20,1009,DISTURBANCE
14.70,-112.40,09/18/06Z,20,1009,DISTURBANCE
15.00,-113.00,09/18/12Z,30,1007,TROPICAL DEPRESSION
15.20,-114.10,09/18/18Z,35,1005,TROPICAL STORM
15.40,-115.00,09/19/00Z,35,1005,TROPICAL STORM
16.00,-116.00,09/19/06Z,45,1005,TROPICAL STORM
16.40,-116.50,09/19/12Z,55,997,TROPICAL STORM
17.20,-116.90,09/19/18Z,60,990,TROPICAL STORM
18.00,-117.40,09/20/00Z,65,987,HURRICANE-1
18.70,-118.10,09/20/06Z,65,987,HURRICANE-1
19.30,-118.80,09/20/12Z,70,987,HURRICANE-1
19.90,-119.30,09/20/18Z,65,987,HURRICANE-1
20.70,-119.70,09/21/00Z,65,987,HURRICANE-1
21.20,-120.00,09/21/06Z,60,987,TROPICAL STORM
21.40,-120.40,09/21/12Z,55,994,TROPICAL STORM
21.70,-121.00,09/21/18Z,45,997,TROPICAL STORM
21.80,-121.30,09/22/00Z,40,1002,TROPICAL STORM
21.70,-121.70,09/22/06Z,35,1004,TROPICAL STORM
21.80,-122.40,09/22/12Z,30,1007,TROPICAL DEPRESSION
