LAT,LON,TIME,WIND,PR,STAT
12.30,-108.00,07/16/18Z,25,1008,TROPICAL DEPRESSION
12.40,-109.20,07/17/00Z,30,1007,TROPICAL DEPRESSION
12.40,-110.40,07/17/06Z,30,1007,TROPICAL DEPRESSION
12.30,-111.60,07/17/12Z,35,1005,TROPICAL STORM
12.30,-112.60,07/17/18Z,40,1002,TROPICAL STORM
12.20,-113.60,07/18/00Z,45,1000,TROPICAL STORM
12.20,-114.80,07/18/06Z,55,994,TROPICAL STORM
12.20,-116.00,07/18/12Z,60,990,TROPICAL STORM
12.10,-117.10,07/18/18Z,65,987,HURRICANE-1
11.90,-117.90,07/19/00Z,70,984,HURRICANE-1
11.80,-118.60,07/19/06Z,75,980,HURRICANE-1
11.80,-119.20,07/19/12Z,80,976,HURRICANE-1
11.80,-119.90,07/19/18Z,85,973,HURRICANE-2
11.90,-120.70,07/20/00Z,95,966,HURRICANE-2
12.20,-121.40,07/20/06Z,95,966,HURRICANE-2
12.40,-122.20,07/20/12Z,100,960,HURRICANE-3
12.60,-123.00,07/20/18Z,115,948,HURRICANE-4
13.00,-123.90,07/21/00Z,120,942,HURRICANE-4
13.10,-124.90,07/21/06Z,115,948,HURRICANE-4
13.30,-125.90,07/21/12Z,120,942,HURRICANE-4
13.30,-126.90,07/21/18Z,125,938,HURRICANE-4
13.50,-128.00,07/22/00Z,130,933,HURRICANE-4
13.70,-129.10,07/22/06Z,130,933,HURRICANE-4
13.80,-130.30,07/22/12Z,130,933,HURRICANE-4
14.00,-131.40,07/22/18Z,125,935,HURRICANE-4
14.20,-132.60,07/23/00Z,120,941,HURRICANE-4
14.50,-133.90,07/23/06Z,115,948,HURRICANE-4
14.70,-135.20,07/23/12Z,115,948,HURRICANE-4
15.10,-136.50,07/23/18Z,105,952,HURRICANE-3
15.50,-137.90,07/24/00Z,95,965,HURRICANE-2
15.90,-139.10,07/24/06Z,85,975,HURRICANE-2
16.20,-140.40,07/24/12Z,80,980,HURRICANE-1
16.20,-141.30,07/24/18Z,75,985,HURRICANE-1
16.20,-141.80,07/25/00Z,65,994,HURRICANE-1
16.20,-142.30,07/25/06Z,55,999,TROPICAL STORM
16.20,-142.40,07/25/12Z,45,1003,TROPICAL STORM
16.20,-142.60,07/25/18Z,35,1004,TROPICAL STORM
16.20,-142.80,07/26/00Z,30,1006,TROPICAL DEPRESSION
16.20,-142.90,07/26/06Z,30,1008,TROPICAL DEPRESSION
16.20,-143.10,07/26/12Z,25,1009,TROPICAL DEPRESSION
16.10,-143.60,07/26/18Z,25,1009,TROPICAL DEPRESSION
16.20,-144.40,07/27/00Z,25,1009,LOW
16.30,-145.10,07/27/06Z,25,1009,LOW
16.90,-146.60,07/27/12Z,25,1009,LOW
17.20,-147.40,07/27/18Z,25,1009,LOW
17.40,-148.80,07/28/00Z,25,1010,LOW
17.60,-150.10,07/28/06Z,25,1010,LOW
17.80,-151.80,07/28/12Z,25,1010,LOW
