LAT,LON,TIME,WIND,PR,STAT
12.80,-103.80,08/01/00Z,30,1009,TROPICAL DEPRESSION
13.30,-104.40,08/01/06Z,30,1007,TROPICAL DEPRESSION
13.80,-105.10,08/01/12Z,35,1005,TROPICAL STORM
14.10,-105.50,08/01/18Z,35,1004,TROPICAL STORM
14.40,-105.80,08/02/00Z,35,1004,TROPICAL STORM
14.70,-106.20,08/02/06Z,30,1005,TROPICAL DEPRESSION
14.90,-106.60,08/02/12Z,30,1005,TROPICAL DEPRESSION
15.00,-107.00,08/02/18Z,30,1005,TROPICAL DEPRESSION
15.20,-107.50,08/03/00Z,25,1006,TROPICAL DEPRESSION
15.30,-108.10,08/03/06Z,25,1006,TROPICAL DEPRESSION
15.40,-108.80,08/03/12Z,25,1006,TROPICAL DEPRESSION
15.70,-109.60,08/03/18Z,25,1007,TROPICAL DEPRESSION
16.20,-110.20,08/04/00Z,20,1008,LOW
16.90,-110.80,08/04/06Z,20,1008,LOW
17.40,-111.30,08/04/12Z,20,1008,LOW
17.70,-111.70,08/04/18Z,20,1008,LOW
17.80,-112.20,08/05/00Z,20,1009,LOW
