LAT,LON,TIME,WIND,PR,STAT
15.70,-101.00,09/13/18Z,30,1006,TROPICAL DEPRESSION
16.20,-101.70,09/14/00Z,30,1005,TROPICAL DEPRESSION
16.70,-102.60,09/14/06Z,35,1000,TROPICAL STORM
17.20,-103.60,09/14/12Z,40,999,TROPICAL STORM
17.60,-104.40,09/14/18Z,45,997,TROPICAL STORM
18.00,-105.00,09/15/00Z,50,997,TROPICAL STORM
18.50,-105.60,09/15/06Z,55,994,TROPICAL STORM
19.30,-106.00,09/15/12Z,65,987,HURRICANE-1
20.30,-106.30,09/15/18Z,75,985,HURRICANE-1
21.30,-106.60,09/16/00Z,90,975,HURRICANE-2
22.20,-106.90,09/16/06Z,100,960,HURRICANE-3
23.10,-107.10,09/16/12Z,110,952,HURRICANE-3
24.00,-107.20,09/16/18Z,110,954,HURRICANE-3
24.10,-107.20,09/16/19Z,110,954,HURRICANE-3
24.70,-107.30,09/17/00Z,65,978,HURRICANE-1
25.40,-107.40,09/17/06Z,35,990,TROPICAL STORM
26.00,-107.50,09/17/12Z,25,1005,TROPICAL DEPRESSION
