LAT,LON,TIME,WIND,PR,STAT
15.70,-105.60,10/21/06Z,30,1004,TROPICAL DEPRESSION
15.80,-106.50,10/21/12Z,35,1002,TROPICAL STORM
15.80,-107.40,10/21/18Z,45,1000,TROPICAL STORM
15.80,-108.10,10/22/00Z,45,1000,TROPICAL STORM
15.80,-108.80,10/22/06Z,45,1000,TROPICAL STORM
15.80,-109.50,10/22/12Z,45,1000,TROPICAL STORM
15.80,-110.20,10/22/18Z,55,994,TROPICAL STORM
15.90,-110.80,10/23/00Z,75,980,HURRICANE-1
16.10,-111.30,10/23/06Z,85,973,HURRICANE-2
16.30,-111.40,10/23/12Z,90,970,HURRICANE-2
16.70,-111.60,10/23/18Z,80,978,HURRICANE-1
17.30,-111.80,10/24/00Z,75,979,HURRICANE-1
18.00,-111.90,10/24/06Z,65,987,HURRICANE-1
18.80,-111.90,10/24/12Z,55,992,TROPICAL STORM
19.80,-111.50,10/24/18Z,45,998,TROPICAL STORM
20.80,-111.00,10/25/00Z,40,1000,TROPICAL STORM
21.70,-110.30,10/25/06Z,40,1000,TROPICAL STORM
22.60,-109.30,10/25/12Z,40,1001,TROPICAL STORM
23.70,-108.10,10/25/18Z,35,1003,TROPICAL STORM
24.50,-108.10,10/26/00Z,25,1005,TROPICAL DEPRESSION
24.80,-108.10,10/26/04Z,25,1007,TROPICAL DEPRESSION
25.00,-108.10,10/26/06Z,25,1008,LOW
