LAT,LON,TIME,WIND,PR,STAT
12.70,-106.30,09/18/06Z,25,1007,TROPICAL DEPRESSION
13.20,-107.10,09/18/12Z,25,1006,TROPICAL DEPRESSION
13.70,-107.90,09/18/18Z,30,1005,TROPICAL DEPRESSION
14.20,-108.80,09/19/00Z,40,1002,TROPICAL STORM
14.60,-109.70,09/19/06Z,50,997,TROPICAL STORM
15.00,-110.70,09/19/12Z,55,994,TROPICAL STORM
15.30,-111.60,09/19/18Z,60,991,TROPICAL STORM
15.70,-112.10,09/20/00Z,65,987,HURRICANE-1
16.20,-112.50,09/20/06Z,65,987,HURRICANE-1
16.80,-112.80,09/20/12Z,65,986,HURRICANE-1
17.50,-113.10,09/20/18Z,70,985,HURRICANE-1
18.20,-113.40,09/21/00Z,70,984,HURRICANE-1
18.80,-113.60,09/21/06Z,70,984,HURRICANE-1
19.30,-113.60,09/21/12Z,65,987,HURRICANE-1
19.80,-113.50,09/21/18Z,60,990,TROPICAL STORM
20.30,-113.30,09/22/00Z,55,994,TROPICAL STORM
20.70,-113.10,09/22/06Z,50,997,TROPICAL STORM
21.20,-112.80,09/22/12Z,45,999,TROPICAL STORM
21.60,-112.50,09/22/18Z,35,1002,TROPICAL STORM
21.90,-112.10,09/23/00Z,30,1004,TROPICAL DEPRESSION
22.00,-111.80,09/23/06Z,25,1006,TROPICAL DEPRESSION
22.00,-111.50,09/23/12Z,25,1007,TROPICAL DEPRESSION
22.00,-111.10,09/23/18Z,25,1007,LOW
22.00,-110.70,09/24/00Z,25,1007,LOW
22.00,-110.40,09/24/06Z,20,1008,LOW
22.00,-110.10,09/24/12Z,15,1009,LOW
21.90,-109.90,09/24/18Z,15,1009,LOW
21.80,-109.60,09/25/00Z,15,1010,LOW
