LAT,LON,TIME,WIND,PR,STAT
14.70,-108.90,09/29/00Z,30,1006,TROPICAL DEPRESSION
15.00,-110.00,09/29/06Z,30,1005,TROPICAL DEPRESSION
15.40,-110.90,09/29/12Z,35,1004,TROPICAL STORM
16.00,-111.70,09/29/18Z,35,1003,TROPICAL STORM
16.70,-112.20,09/30/00Z,35,1003,TROPICAL STORM
17.40,-112.60,09/30/06Z,40,1001,TROPICAL STORM
18.10,-113.00,09/30/12Z,50,997,TROPICAL STORM
18.90,-113.50,09/30/18Z,50,997,TROPICAL STORM
19.70,-114.00,10/01/00Z,45,1000,TROPICAL STORM
20.50,-114.60,10/01/06Z,45,1001,TROPICAL STORM
21.40,-115.10,10/01/12Z,40,1003,TROPICAL STORM
22.30,-115.40,10/01/18Z,35,1003,TROPICAL STORM
23.10,-115.80,10/02/00Z,30,1004,TROPICAL DEPRESSION
23.50,-116.10,10/02/06Z,25,1005,TROPICAL DEPRESSION
23.80,-116.20,10/02/12Z,25,1006,LOW
24.00,-116.20,10/02/18Z,25,1006,LOW
24.00,-116.10,10/03/00Z,25,1006,LOW
23.90,-116.00,10/03/06Z,25,1006,LOW
23.80,-115.90,10/03/12Z,25,1006,LOW
23.60,-115.60,10/03/18Z,25,1007,LOW
23.40,-115.10,10/04/00Z,25,1007,LOW
23.20,-114.50,10/04/06Z,25,1007,LOW
22.90,-113.80,10/04/12Z,25,1007,LOW
22.40,-113.00,10/04/18Z,25,1008,LOW
21.90,-112.00,10/05/00Z,25,1008,LOW
