LAT,LON,TIME,WIND,PR,STAT
16.10,-126.80,09/19/06Z,25,1008,TROPICAL DEPRESSION
17.00,-127.50,09/19/12Z,30,1007,TROPICAL DEPRESSION
17.40,-128.40,09/19/18Z,30,1007,TROPICAL DEPRESSION
17.60,-129.10,09/20/00Z,30,1007,TROPICAL DEPRESSION
17.70,-129.60,09/20/06Z,30,1007,TROPICAL DEPRESSION
17.80,-130.00,09/20/12Z,25,1008,TROPICAL DEPRESSION
17.80,-130.20,09/20/18Z,25,1008,TROPICAL DEPRESSION
17.70,-130.30,09/21/00Z,20,1008,LOW
17.50,-130.50,09/21/06Z,20,1008,LOW
17.20,-130.70,09/21/12Z,20,1008,LOW
16.80,-130.70,09/21/18Z,20,1008,LOW
16.60,-130.10,09/22/00Z,20,1008,LOW
16.80,-129.40,09/22/06Z,20,1008,LOW
16.90,-128.70,09/22/12Z,20,1009,LOW
16.90,-128.20,09/22/18Z,20,1009,LOW
16.90,-127.90,09/23/00Z,20,1009,LOW
16.90,-127.60,09/23/06Z,20,1009,LOW
16.90,-127.40,09/23/12Z,20,1009,LOW
17.00,-127.30,09/23/18Z,20,1009,LOW
17.20,-127.60,09/24/00Z,20,1010,LOW
17.30,-128.00,09/24/06Z,20,1010,LOW
17.50,-128.60,09/24/12Z,20,1011,LOW
17.90,-129.30,09/24/18Z,20,1011,LOW
18.00,-130.30,09/25/00Z,20,1011,LOW
