LAT,LON,TIME,WIND,PR,STAT
15.50,-110.30,06/11/12Z,30,1005,TROPICAL DEPRESSION
16.20,-111.00,06/11/18Z,30,1005,TROPICAL DEPRESSION
17.00,-111.60,06/12/00Z,30,1004,TROPICAL DEPRESSION
17.60,-112.50,06/12/06Z,30,1005,TROPICAL DEPRESSION
18.00,-113.10,06/12/12Z,25,1005,TROPICAL DEPRESSION
18.40,-113.80,06/12/18Z,25,1006,TROPICAL DEPRESSION
18.80,-114.50,06/13/00Z,25,1007,LOW
19.10,-115.00,06/13/06Z,25,1008,LOW
19.30,-115.50,06/13/12Z,20,1009,LOW
19.60,-115.80,06/13/18Z,20,1009,LOW
20.00,-116.00,06/14/00Z,15,1009,LOW
20.10,-116.10,06/14/06Z,15,1009,LOW
20.10,-116.20,06/14/12Z,15,1009,LOW
20.10,-116.60,06/14/18Z,15,1009,LOW
20.10,-117.10,06/15/00Z,15,1009,LOW
