LAT,LON,TIME,WIND,PR,STAT
13.50,-122.00,06/27/18Z,30,1007,TROPICAL DEPRESSION
13.90,-122.70,06/28/00Z,30,1006,TROPICAL DEPRESSION
14.20,-123.50,06/28/06Z,30,1006,TROPICAL DEPRESSION
14.40,-124.30,06/28/12Z,35,1005,TROPICAL STORM
14.60,-125.00,06/28/18Z,45,1000,TROPICAL STORM
14.60,-125.70,06/29/00Z,45,999,TROPICAL STORM
14.60,-126.40,06/29/06Z,45,1000,TROPICAL STORM
14.50,-127.10,06/29/12Z,40,1002,TROPICAL STORM
14.40,-127.90,06/29/18Z,40,1002,TROPICAL STORM
14.30,-128.80,06/30/00Z,40,1002,TROPICAL STORM
14.30,-129.70,06/30/06Z,40,1002,TROPICAL STORM
14.20,-130.70,06/30/12Z,30,1005,TROPICAL DEPRESSION
14.10,-131.70,06/30/18Z,30,1007,LOW
14.10,-132.70,07/01/00Z,25,1008,LOW
14.10,-133.70,07/01/06Z,20,1009,LOW
14.10,-134.50,07/01/12Z,20,1009,LOW
14.00,-135.30,07/01/18Z,20,1009,LOW
13.80,-136.00,07/02/00Z,20,1009,LOW
13.50,-136.50,07/02/06Z,20,1009,LOW
13.10,-136.90,07/02/12Z,20,1009,LOW
12.80,-137.10,07/02/18Z,20,1009,LOW
12.50,-137.20,07/03/00Z,20,1009,LOW
