LAT,LON,TIME,WIND,PR,STAT
13.40,-100.30,07/21/12Z,30,1006,TROPICAL DEPRESSION
13.80,-101.90,07/21/18Z,35,1004,TROPICAL STORM
14.20,-103.40,07/22/00Z,35,1004,TROPICAL STORM
14.30,-104.60,07/22/06Z,40,1002,TROPICAL STORM
14.30,-105.70,07/22/12Z,50,998,TROPICAL STORM
14.40,-106.70,07/22/18Z,50,996,TROPICAL STORM
14.70,-107.50,07/23/00Z,55,994,TROPICAL STORM
14.90,-108.20,07/23/06Z,55,994,TROPICAL STORM
15.00,-108.90,07/23/12Z,55,994,TROPICAL STORM
15.00,-109.80,07/23/18Z,50,996,TROPICAL STORM
15.10,-110.60,07/24/00Z,50,998,TROPICAL STORM
15.20,-111.50,07/24/06Z,45,1000,TROPICAL STORM
15.30,-112.20,07/24/12Z,45,1000,TROPICAL STORM
15.50,-112.80,07/24/18Z,45,1000,TROPICAL STORM
15.80,-113.40,07/25/00Z,50,997,TROPICAL STORM
16.00,-114.20,07/25/06Z,55,994,TROPICAL STORM
16.30,-115.20,07/25/12Z,65,987,HURRICANE-1
16.50,-116.40,07/25/18Z,65,987,HURRICANE-1
16.80,-117.60,07/26/00Z,65,987,HURRICANE-1
17.00,-118.60,07/26/06Z,60,990,TROPICAL STORM
17.00,-119.80,07/26/12Z,50,997,TROPICAL STORM
17.00,-120.90,07/26/18Z,45,1000,TROPICAL STORM
16.90,-122.00,07/27/00Z,35,1000,TROPICAL STORM
16.90,-123.10,07/27/06Z,30,1004,TROPICAL DEPRESSION
16.90,-124.40,07/27/12Z,25,1006,LOW
16.90,-125.30,07/27/18Z,25,1008,LOW
17.00,-126.00,07/28/00Z,25,1009,LOW
17.00,-127.00,07/28/06Z,25,1009,LOW
17.00,-128.00,07/28/12Z,25,1010,LOW
17.00,-129.00,07/28/18Z,25,1010,LOW
17.30,-130.00,07/29/00Z,25,1011,LOW
17.80,-131.00,07/29/06Z,20,1012,LOW
18.00,-132.00,07/29/12Z,20,1013,LOW
18.00,-133.00,07/29/18Z,20,1013,LOW
17.80,-134.10,07/30/00Z,20,1014,LOW
17.50,-135.20,07/30/06Z,20,1014,LOW
17.10,-136.40,07/30/12Z,20,1014,LOW
16.70,-137.70,07/30/18Z,20,1014,LOW
16.40,-138.90,07/31/00Z,20,1014,LOW
16.60,-140.00,07/31/06Z,20,1015,LOW
