LAT,LON,TIME,WIND,PR,STAT
18.20,-107.50,08/23/12Z,30,1007,TROPICAL DEPRESSION
19.10,-108.10,08/23/18Z,35,1005,TROPICAL STORM
20.00,-108.60,08/24/00Z,40,1002,TROPICAL STORM
20.90,-109.20,08/24/06Z,40,1001,TROPICAL STORM
21.90,-109.80,08/24/12Z,45,1000,TROPICAL STORM
22.90,-110.20,08/24/18Z,45,998,TROPICAL STORM
23.90,-110.90,08/25/00Z,40,999,TROPICAL STORM
25.20,-111.50,08/25/06Z,35,1001,TROPICAL STORM
26.30,-112.00,08/25/12Z,35,1001,TROPICAL STORM
27.10,-112.30,08/25/18Z,35,1001,TROPICAL STORM
27.60,-112.40,08/26/00Z,30,1001,TROPICAL DEPRESSION
28.00,-112.40,08/26/06Z,30,1003,TROPICAL DEPRESSION
28.20,-112.20,08/26/12Z,25,1005,TROPICAL DEPRESSION
28.30,-112.10,08/26/18Z,25,1005,LOW
28.30,-111.90,08/27/00Z,25,1005,LOW
28.30,-111.60,08/27/06Z,20,1007,LOW
