LAT,LON,TIME,WIND,PR,STAT
16.30,-115.40,10/01/06Z,30,1006,TROPICAL DEPRESSION
17.00,-116.10,10/01/12Z,45,1000,TROPICAL STORM
17.60,-117.50,10/01/18Z,45,1000,TROPICAL STORM
17.80,-118.60,10/02/00Z,45,1000,TROPICAL STORM
17.90,-119.30,10/02/06Z,45,1000,TROPICAL STORM
17.90,-119.90,10/02/12Z,45,1000,TROPICAL STORM
17.80,-120.60,10/02/18Z,45,1000,TROPICAL STORM
17.70,-121.10,10/03/00Z,45,1000,TROPICAL STORM
17.60,-121.60,10/03/06Z,50,997,TROPICAL STORM
17.60,-121.90,10/03/12Z,60,990,TROPICAL STORM
17.60,-122.10,10/03/18Z,65,987,HURRICANE-1
17.70,-122.20,10/04/00Z,70,984,HURRICANE-1
17.90,-122.20,10/04/06Z,70,984,HURRICANE-1
18.10,-122.10,10/04/12Z,65,987,HURRICANE-1
18.30,-122.10,10/04/18Z,55,992,TROPICAL STORM
18.50,-122.10,10/05/00Z,45,1000,TROPICAL STORM
18.80,-121.90,10/05/06Z,40,1001,TROPICAL STORM
18.80,-122.20,10/05/12Z,40,1001,TROPICAL STORM
18.70,-122.50,10/05/18Z,35,1004,TROPICAL STORM
18.70,-122.80,10/06/00Z,35,1004,TROPICAL STORM
18.70,-123.10,10/06/06Z,35,1004,TROPICAL STORM
18.70,-123.30,10/06/12Z,30,1006,TROPICAL DEPRESSION
18.90,-123.60,10/06/18Z,25,1007,TROPICAL DEPRESSION
18.80,-124.10,10/07/00Z,25,1007,LOW
18.40,-124.50,10/07/06Z,25,1007,LOW
18.10,-125.00,10/07/12Z,25,1008,LOW
17.70,-125.50,10/07/18Z,25,1008,LOW
17.50,-125.80,10/08/00Z,25,1009,LOW
17.30,-126.30,10/08/06Z,25,1009,LOW
17.10,-126.70,10/08/12Z,25,1009,LOW
16.90,-127.10,10/08/18Z,25,1009,LOW
16.60,-127.30,10/09/00Z,25,1009,LOW
16.30,-127.50,10/09/06Z,25,1009,LOW
16.00,-127.50,10/09/12Z,25,1009,LOW
15.60,-127.30,10/09/18Z,25,1009,LOW
15.20,-127.00,10/10/00Z,25,1009,LOW
14.70,-126.50,10/10/06Z,25,1009,LOW
14.20,-125.90,10/10/12Z,25,1009,LOW
13.70,-125.40,10/10/18Z,25,1009,LOW
13.10,-124.90,10/11/00Z,25,1009,LOW
12.50,-124.30,10/11/06Z,25,1009,LOW
12.20,-124.00,10/11/12Z,25,1009,LOW
12.00,-123.50,10/11/18Z,20,1010,LOW
12.00,-123.00,10/12/00Z,20,1010,LOW
11.70,-122.50,10/12/06Z,20,1010,LOW
11.50,-122.50,10/12/12Z,20,1010,LOW
11.60,-122.70,10/12/18Z,20,1010,LOW
11.70,-123.00,10/13/00Z,20,1010,LOW
11.80,-123.20,10/13/06Z,15,1011,LOW
11.80,-123.40,10/13/12Z,15,1011,LOW
11.80,-123.70,10/13/18Z,15,1011,LOW
11.70,-124.00,10/14/00Z,20,1010,LOW
11.50,-124.00,10/14/06Z,20,1010,LOW
11.50,-124.20,10/14/12Z,20,1010,LOW
11.50,-124.50,10/14/18Z,20,1010,LOW
11.50,-124.80,10/15/00Z,20,1010,LOW
11.30,-125.00,10/15/06Z,20,1010,LOW
11.10,-125.40,10/15/12Z,20,1010,LOW
11.00,-126.00,10/15/18Z,20,1010,LOW
11.00,-126.60,10/16/00Z,25,1009,LOW
10.90,-127.20,10/16/06Z,25,1009,LOW
10.90,-127.80,10/16/12Z,25,1009,LOW
10.90,-128.40,10/16/18Z,25,1009,LOW
10.90,-129.20,10/17/00Z,25,1009,LOW
11.00,-130.00,10/17/06Z,25,1009,LOW
11.20,-130.90,10/17/12Z,25,1009,LOW
11.20,-131.90,10/17/18Z,25,1009,LOW
11.00,-132.90,10/18/00Z,25,1009,LOW
10.90,-133.90,10/18/06Z,25,1009,LOW
10.80,-134.90,10/18/12Z,25,1009,LOW
10.70,-136.00,10/18/18Z,25,1009,LOW
10.60,-137.00,10/19/00Z,25,1009,LOW
10.60,-138.00,10/19/06Z,20,1010,LOW
10.60,-139.00,10/19/12Z,20,1010,LOW
