LAT,LON,TIME,WIND,PR,STAT
13.50,-99.10,10/04/00Z,30,1006,TROPICAL DEPRESSION
13.80,-99.00,10/04/06Z,30,1006,TROPICAL DEPRESSION
14.00,-99.50,10/04/12Z,30,1006,TROPICAL DEPRESSION
14.10,-100.10,10/04/18Z,30,1006,TROPICAL DEPRESSION
14.10,-100.60,10/05/00Z,35,1005,TROPICAL STORM
14.00,-101.10,10/05/06Z,40,1003,TROPICAL STORM
13.90,-101.70,10/05/12Z,50,1000,TROPICAL STORM
13.90,-102.40,10/05/18Z,50,1000,TROPICAL STORM
13.90,-103.00,10/06/00Z,50,1000,TROPICAL STORM
14.00,-103.60,10/06/06Z,55,996,TROPICAL STORM
14.20,-104.30,10/06/12Z,55,993,TROPICAL STORM
14.40,-104.90,10/06/18Z,60,990,TROPICAL STORM
14.60,-105.40,10/07/00Z,60,988,TROPICAL STORM
14.90,-106.00,10/07/06Z,65,987,HURRICANE-1
15.00,-106.80,10/07/12Z,70,985,HURRICANE-1
15.20,-107.70,10/07/18Z,75,980,HURRICANE-1
15.50,-108.60,10/08/00Z,90,970,HURRICANE-2
15.80,-109.50,10/08/06Z,100,960,HURRICANE-3
16.10,-110.20,10/08/12Z,110,952,HURRICANE-3
16.40,-110.90,10/08/18Z,115,945,HURRICANE-4
16.80,-111.60,10/09/00Z,110,948,HURRICANE-3
17.20,-112.10,10/09/06Z,100,954,HURRICANE-3
17.60,-112.50,10/09/12Z,85,960,HURRICANE-2
18.00,-112.80,10/09/18Z,70,973,HURRICANE-1
18.60,-113.10,10/10/00Z,70,973,HURRICANE-1
19.30,-113.30,10/10/06Z,70,973,HURRICANE-1
20.00,-113.50,10/10/12Z,75,970,HURRICANE-1
20.90,-113.50,10/10/18Z,80,968,HURRICANE-1
21.80,-113.20,10/11/00Z,90,960,HURRICANE-2
22.80,-112.80,10/11/06Z,100,953,HURRICANE-3
23.70,-112.30,10/11/12Z,95,954,HURRICANE-2
24.40,-111.60,10/11/17Z,90,956,HURRICANE-2
24.60,-111.40,10/11/18Z,90,957,HURRICANE-2
25.80,-110.20,10/12/00Z,80,961,HURRICANE-1
26.60,-109.30,10/12/04Z,75,964,HURRICANE-1
27.00,-108.70,10/12/06Z,65,975,HURRICANE-1
27.20,-108.40,10/12/07Z,60,978,TROPICAL STORM
28.30,-107.00,10/12/12Z,30,995,TROPICAL DEPRESSION
