LAT,LON,TIME,WIND,PR,STAT
12.30,-104.90,10/23/06Z,25,1009,TROPICAL DEPRESSION
13.00,-104.90,10/23/12Z,30,1008,TROPICAL DEPRESSION
13.80,-105.00,10/23/18Z,30,1008,TROPICAL DEPRESSION
14.40,-105.40,10/24/00Z,30,1008,TROPICAL DEPRESSION
14.90,-105.90,10/24/06Z,30,1008,TROPICAL DEPRESSION
15.30,-106.40,10/24/12Z,30,1008,TROPICAL DEPRESSION
15.70,-106.90,10/24/18Z,25,1008,LOW
16.10,-107.50,10/25/00Z,25,1009,LOW
16.60,-108.20,10/25/06Z,25,1009,LOW
16.70,-109.00,10/25/12Z,25,1009,LOW
16.70,-109.70,10/25/18Z,25,1009,LOW
16.60,-110.40,10/26/00Z,25,1009,LOW
16.50,-111.00,10/26/06Z,25,1009,LOW
16.40,-111.70,10/26/12Z,25,1009,LOW
16.20,-112.60,10/26/18Z,20,1010,LOW
16.10,-113.80,10/27/00Z,20,1010,LOW
16.00,-115.10,10/27/06Z,20,1010,LOW
16.00,-116.10,10/27/12Z,20,1010,LOW
16.00,-117.40,10/27/18Z,20,1010,LOW
