LAT,LON,TIME,WIND,PR,STAT
12.90,-112.20,08/03/18Z,30,1006,TROPICAL DEPRESSION
13.20,-113.60,08/04/00Z,35,1004,TROPICAL STORM
13.70,-114.90,08/04/06Z,45,1000,TROPICAL STORM
14.30,-116.30,08/04/12Z,55,994,TROPICAL STORM
14.90,-117.70,08/04/18Z,55,994,TROPICAL STORM
15.60,-119.10,08/05/00Z,50,998,TROPICAL STORM
16.40,-120.30,08/05/06Z,45,1000,TROPICAL STORM
17.20,-121.50,08/05/12Z,45,1000,TROPICAL STORM
18.10,-122.70,08/05/18Z,45,1000,TROPICAL STORM
19.10,-124.00,08/06/00Z,45,1000,TROPICAL STORM
20.10,-125.30,08/06/06Z,45,1000,TROPICAL STORM
21.00,-126.60,08/06/12Z,40,1002,TROPICAL STORM
22.00,-127.70,08/06/18Z,35,1005,TROPICAL STORM
22.80,-128.50,08/07/00Z,30,1007,TROPICAL DEPRESSION
23.60,-129.10,08/07/06Z,30,1007,TROPICAL DEPRESSION
24.20,-129.40,08/07/12Z,30,1007,TROPICAL DEPRESSION
24.80,-129.60,08/07/18Z,25,1008,TROPICAL DEPRESSION
25.00,-129.70,08/08/00Z,25,1009,LOW
24.70,-129.80,08/08/06Z,20,1009,LOW
24.30,-129.90,08/08/12Z,20,1009,LOW
