LAT,LON,TIME,WIND,PR,STAT
12.00,-139.10,07/30/12Z,30,1008,TROPICAL DEPRESSION
12.10,-140.60,07/30/18Z,35,1005,TROPICAL STORM
12.60,-142.30,07/31/00Z,45,1000,TROPICAL STORM
13.00,-143.90,07/31/06Z,50,997,TROPICAL STORM
13.40,-145.50,07/31/12Z,50,997,TROPICAL STORM
13.80,-146.90,07/31/18Z,55,995,TROPICAL STORM
14.00,-148.40,08/01/00Z,50,997,TROPICAL STORM
14.20,-149.80,08/01/06Z,45,999,TROPICAL STORM
14.40,-151.20,08/01/12Z,45,1000,TROPICAL STORM
14.40,-152.60,08/01/18Z,45,1000,TROPICAL STORM
14.50,-154.20,08/02/00Z,40,1002,TROPICAL STORM
14.50,-155.90,08/02/06Z,40,1003,TROPICAL STORM
14.40,-157.40,08/02/12Z,35,1004,TROPICAL STORM
14.40,-158.90,08/02/18Z,30,1006,TROPICAL DEPRESSION
14.40,-160.30,08/03/00Z,25,1008,LOW
14.40,-161.70,08/03/06Z,20,1010,LOW
