LAT,LON,TIME,WIND,PR,STAT
17.30,-111.30,09/15/12Z,25,1007,LOW
17.70,-111.60,09/15/18Z,25,1007,LOW
18.00,-111.90,09/16/00Z,25,1007,TROPICAL DEPRESSION
18.30,-112.20,09/16/06Z,30,1005,TROPICAL DEPRESSION
18.60,-112.40,09/16/12Z,35,1003,TROPICAL STORM
18.80,-112.50,09/16/18Z,40,1002,TROPICAL STORM
19.00,-112.60,09/17/00Z,40,1002,TROPICAL STORM
19.20,-112.70,09/17/06Z,40,1003,TROPICAL STORM
19.40,-112.80,09/17/12Z,40,1003,TROPICAL STORM
19.60,-113.00,09/17/18Z,40,1003,TROPICAL STORM
19.90,-113.40,09/18/00Z,35,1004,TROPICAL STORM
20.10,-113.90,09/18/06Z,35,1004,TROPICAL STORM
20.50,-114.40,09/18/12Z,35,1004,TROPICAL STORM
21.00,-114.90,09/18/18Z,30,1004,TROPICAL DEPRESSION
21.50,-115.60,09/19/00Z,30,1004,TROPICAL DEPRESSION
22.10,-116.50,09/19/06Z,30,1004,TROPICAL DEPRESSION
22.40,-117.50,09/19/12Z,25,1005,LOW
22.70,-118.50,09/19/18Z,25,1005,LOW
22.80,-119.60,09/20/00Z,25,1005,LOW
22.90,-120.60,09/20/06Z,25,1005,LOW
23.00,-121.60,09/20/12Z,25,1006,LOW
23.10,-122.60,09/20/18Z,25,1006,LOW
23.10,-123.70,09/21/00Z,25,1007,LOW
23.10,-124.80,09/21/06Z,20,1008,LOW
23.10,-125.90,09/21/12Z,20,1008,LOW
23.10,-126.90,09/21/18Z,20,1008,LOW
23.10,-127.90,09/22/00Z,20,1008,LOW
23.20,-129.10,09/22/06Z,20,1009,LOW
23.30,-130.40,09/22/12Z,20,1009,LOW
23.50,-131.80,09/22/18Z,20,1010,LOW
