LAT,LON,TIME,WIND,PR,STAT
8.40,-156.20,10/18/18Z,25,1008,TROPICAL DEPRESSION
8.50,-156.50,10/19/00Z,30,1007,TROPICAL DEPRESSION
8.90,-157.30,10/19/06Z,30,1007,TROPICAL DEPRESSION
9.40,-158.00,10/19/12Z,35,1006,TROPICAL STORM
10.30,-159.10,10/19/18Z,35,1006,TROPICAL STORM
11.10,-160.40,10/20/00Z,35,1006,TROPICAL STORM
11.90,-161.70,10/20/06Z,40,1005,TROPICAL STORM
12.80,-162.80,10/20/12Z,55,1001,TROPICAL STORM
13.90,-163.70,10/20/18Z,60,996,TROPICAL STORM
15.00,-164.80,10/21/00Z,65,992,HURRICANE-1
15.90,-165.70,10/21/06Z,75,985,HURRICANE-1
16.60,-166.40,10/21/12Z,90,975,HURRICANE-2
17.60,-166.60,10/21/18Z,100,960,HURRICANE-3
18.30,-166.70,10/22/00Z,110,950,HURRICANE-3
19.00,-166.70,10/22/06Z,105,956,HURRICANE-3
19.70,-166.60,10/22/12Z,100,965,HURRICANE-3
20.40,-166.40,10/22/18Z,90,970,HURRICANE-2
21.10,-166.20,10/23/00Z,85,975,HURRICANE-2
21.90,-165.90,10/23/06Z,80,980,HURRICANE-1
22.50,-165.60,10/23/12Z,70,990,HURRICANE-1
22.90,-165.40,10/23/18Z,60,995,TROPICAL STORM
23.30,-165.20,10/24/00Z,55,998,TROPICAL STORM
23.60,-164.90,10/24/06Z,55,999,TROPICAL STORM
24.00,-164.40,10/24/12Z,50,1001,TROPICAL STORM
24.50,-164.00,10/24/18Z,50,1001,TROPICAL STORM
24.70,-163.90,10/25/00Z,50,1001,TROPICAL STORM
24.70,-163.90,10/25/06Z,50,1002,TROPICAL STORM
24.60,-164.00,10/25/12Z,45,1003,TROPICAL STORM
24.70,-164.20,10/25/18Z,45,1003,TROPICAL STORM
24.80,-164.70,10/26/00Z,40,1006,TROPICAL STORM
25.30,-164.90,10/26/06Z,35,1008,TROPICAL STORM
25.90,-165.00,10/26/12Z,35,1009,TROPICAL STORM
27.10,-165.60,10/26/18Z,30,1010,TROPICAL DEPRESSION
28.80,-165.30,10/27/00Z,30,1010,TROPICAL DEPRESSION
