LAT,LON,TIME,WIND,PR,STAT
14.90,-94.90,08/04/12Z,20,1008,LOW
14.70,-96.30,08/04/18Z,25,1008,LOW
14.70,-97.60,08/05/00Z,25,1007,LOW
14.90,-98.80,08/05/06Z,25,1007,LOW
15.20,-99.90,08/05/12Z,25,1006,LOW
15.50,-100.90,08/05/18Z,25,1005,LOW
15.80,-101.70,08/06/00Z,30,1004,TROPICAL DEPRESSION
16.20,-102.60,08/06/06Z,30,1004,TROPICAL DEPRESSION
16.60,-103.50,08/06/12Z,35,1003,TROPICAL STORM
16.90,-104.60,08/06/18Z,40,1002,TROPICAL STORM
17.00,-105.60,08/07/00Z,45,1000,TROPICAL STORM
16.80,-106.40,08/07/06Z,45,1000,TROPICAL STORM
16.90,-107.30,08/07/12Z,50,998,TROPICAL STORM
17.10,-108.30,08/07/18Z,50,998,TROPICAL STORM
17.30,-109.20,08/08/00Z,55,994,TROPICAL STORM
17.50,-109.80,08/08/06Z,55,994,TROPICAL STORM
17.70,-110.40,08/08/12Z,50,996,TROPICAL STORM
17.90,-110.90,08/08/18Z,45,999,TROPICAL STORM
17.90,-111.30,08/09/00Z,40,1001,TROPICAL STORM
17.90,-111.70,08/09/06Z,35,1002,TROPICAL STORM
17.80,-112.00,08/09/12Z,35,1004,TROPICAL STORM
17.70,-112.40,08/09/18Z,30,1005,TROPICAL DEPRESSION
17.70,-112.80,08/10/00Z,30,1005,TROPICAL DEPRESSION
17.50,-113.20,08/10/06Z,25,1005,LOW
17.30,-113.20,08/10/12Z,25,1006,LOW
17.20,-113.10,08/10/18Z,25,1006,LOW
