LAT,LON,TIME,WIND,PR,STAT
13.90,-93.30,08/21/18Z,25,1007,TROPICAL DEPRESSION
13.80,-93.80,08/22/00Z,30,1006,TROPICAL DEPRESSION
13.80,-94.40,08/22/06Z,30,1005,TROPICAL DEPRESSION
13.80,-95.00,08/22/12Z,40,1002,TROPICAL STORM
13.90,-95.70,08/22/18Z,50,1000,TROPICAL STORM
14.00,-96.40,08/23/00Z,50,998,TROPICAL STORM
14.20,-97.10,08/23/06Z,50,999,TROPICAL STORM
14.50,-98.00,08/23/12Z,45,1000,TROPICAL STORM
14.80,-98.90,08/23/18Z,45,1000,TROPICAL STORM
15.00,-99.70,08/24/00Z,45,1000,TROPICAL STORM
15.20,-100.50,08/24/06Z,50,997,TROPICAL STORM
15.40,-101.10,08/24/12Z,55,994,TROPICAL STORM
15.60,-101.80,08/24/18Z,55,992,TROPICAL STORM
15.90,-102.70,08/25/00Z,60,991,TROPICAL STORM
16.20,-103.60,08/25/06Z,60,989,TROPICAL STORM
16.50,-104.60,08/25/12Z,65,987,HURRICANE-1
16.80,-105.70,08/25/18Z,65,987,HURRICANE-1
17.10,-106.90,08/26/00Z,70,984,HURRICANE-1
17.20,-108.10,08/26/06Z,70,984,HURRICANE-1
17.40,-109.00,08/26/12Z,75,981,HURRICANE-1
17.90,-109.90,08/26/18Z,80,978,HURRICANE-1
18.20,-110.90,08/27/00Z,75,981,HURRICANE-1
18.50,-111.40,08/27/06Z,70,984,HURRICANE-1
18.70,-111.80,08/27/12Z,65,987,HURRICANE-1
19.10,-112.10,08/27/18Z,55,994,TROPICAL STORM
19.60,-112.50,08/28/00Z,45,999,TROPICAL STORM
20.00,-112.40,08/28/06Z,35,1005,TROPICAL STORM
20.60,-112.30,08/28/12Z,30,1005,TROPICAL DEPRESSION
20.90,-111.80,08/28/18Z,25,1007,LOW
20.80,-111.30,08/29/00Z,25,1007,LOW
