LAT,LON,TIME,WIND,PR,STAT
10.70,-99.70,06/07/00Z,25,1007,LOW
11.20,-99.80,06/07/06Z,25,1007,LOW
11.50,-99.60,06/07/12Z,25,1006,TROPICAL DEPRESSION
11.70,-99.60,06/07/18Z,30,1005,TROPICAL DEPRESSION
11.70,-99.90,06/08/00Z,35,1003,TROPICAL STORM
11.90,-100.40,06/08/06Z,45,1000,TROPICAL STORM
12.50,-100.70,06/08/12Z,55,996,TROPICAL STORM
13.10,-101.20,06/08/18Z,60,993,TROPICAL STORM
13.50,-102.00,06/09/00Z,70,987,HURRICANE-1
13.80,-102.80,06/09/06Z,75,982,HURRICANE-1
14.10,-103.60,06/09/12Z,90,970,HURRICANE-2
14.30,-104.40,06/09/18Z,105,957,HURRICANE-3
14.50,-105.30,06/10/00Z,120,946,HURRICANE-4
14.80,-106.20,06/10/06Z,120,944,HURRICANE-4
15.10,-107.10,06/10/12Z,120,946,HURRICANE-4
15.40,-108.10,06/10/18Z,110,954,HURRICANE-3
15.50,-109.10,06/11/00Z,100,963,HURRICANE-3
15.60,-110.20,06/11/06Z,80,977,HURRICANE-1
15.60,-111.30,06/11/12Z,65,988,HURRICANE-1
15.60,-112.40,06/11/18Z,55,995,TROPICAL STORM
15.70,-113.50,06/12/00Z,45,999,TROPICAL STORM
16.00,-114.50,06/12/06Z,35,1003,TROPICAL STORM
16.30,-115.20,06/12/12Z,35,1005,LOW
16.60,-115.60,06/12/18Z,35,1006,LOW
16.80,-116.00,06/13/00Z,30,1007,LOW
16.90,-116.40,06/13/06Z,25,1008,LOW
17.00,-116.90,06/13/12Z,20,1008,LOW
17.00,-117.50,06/13/18Z,20,1008,LOW
16.90,-117.90,06/14/00Z,20,1008,LOW
16.70,-118.10,06/14/06Z,20,1008,LOW
