LAT,LON,TIME,WIND,PR,STAT
12.30,-126.50,08/14/12Z,25,1008,LOW
12.30,-127.80,08/14/18Z,25,1008,LOW
12.30,-129.00,08/15/00Z,25,1008,LOW
12.30,-130.10,08/15/06Z,30,1007,LOW
12.20,-131.00,08/15/12Z,30,1007,LOW
12.10,-131.80,08/15/18Z,30,1007,TROPICAL DEPRESSION
12.20,-132.60,08/16/00Z,30,1007,TROPICAL DEPRESSION
12.20,-133.40,08/16/06Z,35,1005,TROPICAL STORM
11.90,-134.20,08/16/12Z,40,1004,TROPICAL STORM
11.60,-135.10,08/16/18Z,45,1001,TROPICAL STORM
11.60,-135.90,08/17/00Z,45,1000,TROPICAL STORM
11.60,-136.60,08/17/06Z,45,1000,TROPICAL STORM
11.80,-137.30,08/17/12Z,45,1000,TROPICAL STORM
12.00,-138.00,08/17/18Z,45,1000,TROPICAL STORM
12.40,-138.80,08/18/00Z,50,997,TROPICAL STORM
12.90,-139.50,08/18/06Z,60,992,TROPICAL STORM
13.50,-140.40,08/18/12Z,60,992,TROPICAL STORM
14.00,-141.30,08/18/18Z,55,994,TROPICAL STORM
14.50,-142.20,08/19/00Z,55,994,TROPICAL STORM
14.80,-143.20,08/19/06Z,45,997,TROPICAL STORM
15.10,-144.10,08/19/12Z,35,1002,TROPICAL STORM
15.40,-145.30,08/19/18Z,30,1005,TROPICAL DEPRESSION
15.50,-146.50,08/20/00Z,25,1007,LOW
15.60,-147.70,08/20/06Z,25,1009,LOW
15.70,-148.80,08/20/12Z,25,1010,LOW
15.80,-149.90,08/20/18Z,25,1010,LOW
16.00,-151.10,08/21/00Z,25,1011,LOW
16.10,-152.40,08/21/06Z,25,1011,LOW
15.90,-153.70,08/21/12Z,25,1011,LOW
