LAT,LON,TIME,WIND,PR,STAT
9.70,-91.70,10/06/18Z,20,1009,LOW
10.10,-92.50,10/07/00Z,20,1008,LOW
10.60,-93.30,10/07/06Z,20,1008,LOW
10.90,-94.10,10/07/12Z,20,1008,LOW
11.10,-95.00,10/07/18Z,20,1007,LOW
11.20,-95.90,10/08/00Z,20,1007,LOW
11.10,-96.40,10/08/06Z,20,1007,LOW
10.90,-96.50,10/08/12Z,20,1007,LOW
10.80,-96.30,10/08/18Z,20,1007,LOW
10.80,-96.10,10/09/00Z,20,1006,LOW
10.80,-95.90,10/09/06Z,20,1006,LOW
10.90,-95.70,10/09/12Z,25,1006,LOW
11.10,-95.50,10/09/18Z,25,1006,LOW
11.20,-95.30,10/10/00Z,25,1006,LOW
11.30,-95.00,10/10/06Z,25,1005,LOW
11.50,-94.70,10/10/12Z,25,1005,LOW
11.70,-94.50,10/10/18Z,25,1005,LOW
11.90,-94.30,10/11/00Z,25,1005,LOW
12.20,-94.10,10/11/06Z,25,1005,LOW
12.60,-93.90,10/11/12Z,25,1005,LOW
13.10,-93.80,10/11/18Z,30,1005,LOW
13.90,-93.80,10/12/00Z,30,1004,TROPICAL DEPRESSION
14.80,-93.90,10/12/06Z,30,1004,TROPICAL DEPRESSION
15.70,-94.10,10/12/12Z,30,1005,TROPICAL DEPRESSION
16.20,-94.10,10/12/16Z,30,1005,TROPICAL DEPRESSION
16.40,-94.10,10/12/18Z,30,1006,TROPICAL DEPRESSION
16.90,-93.90,10/13/00Z,20,1007,LOW
