LAT,LON,TIME,WIND,PR,STAT
9.60,-98.50,07/07/06Z,25,1006,LOW
9.80,-99.80,07/07/12Z,25,1006,LOW
10.00,-101.20,07/07/18Z,30,1005,TROPICAL DEPRESSION
10.30,-102.60,07/08/00Z,35,1003,TROPICAL STORM
10.60,-104.00,07/08/06Z,40,1002,TROPICAL STORM
10.90,-105.40,07/08/12Z,45,1000,TROPICAL STORM
11.20,-106.60,07/08/18Z,50,997,TROPICAL STORM
11.60,-107.70,07/09/00Z,55,994,TROPICAL STORM
12.00,-108.80,07/09/06Z,65,987,HURRICANE-1
12.40,-109.90,07/09/12Z,85,974,HURRICANE-2
12.80,-110.90,07/09/18Z,95,968,HURRICANE-2
13.20,-111.90,07/10/00Z,110,954,HURRICANE-3
13.60,-112.90,07/10/06Z,120,945,HURRICANE-4
13.90,-113.80,07/10/12Z,115,948,HURRICANE-4
14.20,-114.60,07/10/18Z,105,953,HURRICANE-3
14.40,-115.50,07/11/00Z,95,967,HURRICANE-2
14.50,-116.30,07/11/06Z,90,970,HURRICANE-2
14.60,-117.20,07/11/12Z,95,970,HURRICANE-2
14.70,-118.00,07/11/18Z,100,960,HURRICANE-3
14.80,-118.80,07/12/00Z,105,958,HURRICANE-3
14.90,-119.70,07/12/06Z,100,960,HURRICANE-3
15.00,-120.80,07/12/12Z,100,960,HURRICANE-3
15.10,-121.90,07/12/18Z,90,966,HURRICANE-2
15.20,-123.00,07/13/00Z,80,977,HURRICANE-1
15.30,-124.20,07/13/06Z,70,986,HURRICANE-1
15.40,-125.40,07/13/12Z,60,993,TROPICAL STORM
15.50,-126.60,07/13/18Z,50,998,TROPICAL STORM
15.60,-127.90,07/14/00Z,45,1001,TROPICAL STORM
15.60,-129.20,07/14/06Z,45,1001,TROPICAL STORM
15.60,-130.60,07/14/12Z,45,1001,TROPICAL STORM
15.60,-132.10,07/14/18Z,40,1003,TROPICAL STORM
15.60,-133.70,07/15/00Z,35,1004,TROPICAL STORM
15.60,-135.40,07/15/06Z,35,1004,TROPICAL STORM
15.50,-137.10,07/15/12Z,35,1004,TROPICAL STORM
15.40,-138.70,07/15/18Z,30,1005,LOW
15.30,-140.30,07/16/00Z,30,1005,LOW
15.20,-141.90,07/16/06Z,30,1005,LOW
15.00,-143.50,07/16/12Z,30,1005,LOW
14.90,-145.10,07/16/18Z,30,1006,LOW
14.80,-146.70,07/17/00Z,30,1006,LOW
14.70,-148.40,07/17/06Z,30,1006,LOW
14.70,-150.10,07/17/12Z,30,1006,LOW
14.70,-151.90,07/17/18Z,30,1006,LOW
14.70,-153.70,07/18/00Z,25,1007,LOW
