LAT,LON,TIME,WIND,PR,STAT
6.70,-95.20,05/13/12Z,20,1009,LOW
6.90,-95.90,05/13/18Z,20,1008,LOW
7.00,-96.80,05/14/00Z,25,1007,LOW
7.10,-97.70,05/14/06Z,25,1007,LOW
7.20,-98.70,05/14/12Z,25,1007,LOW
7.40,-99.80,05/14/18Z,25,1007,LOW
7.60,-101.00,05/15/00Z,25,1006,LOW
7.80,-102.30,05/15/06Z,30,1006,TROPICAL DEPRESSION
8.10,-103.60,05/15/12Z,30,1006,TROPICAL DEPRESSION
8.40,-104.60,05/15/18Z,35,1005,TROPICAL STORM
8.60,-105.50,05/16/00Z,40,1004,TROPICAL STORM
8.90,-106.40,05/16/06Z,50,1000,TROPICAL STORM
9.10,-107.40,05/16/12Z,45,1002,TROPICAL STORM
9.30,-108.80,05/16/18Z,40,1003,TROPICAL STORM
9.60,-110.10,05/17/00Z,35,1004,TROPICAL STORM
