LAT,LON,TIME,WIND,PR,STAT
11.80,-103.60,06/23/12Z,30,1005,TROPICAL DEPRESSION
12.00,-103.70,06/23/18Z,30,1005,TROPICAL DEPRESSION
12.20,-104.10,06/24/00Z,35,1003,TROPICAL STORM
12.70,-104.70,06/24/06Z,40,1000,TROPICAL STORM
13.80,-105.50,06/24/12Z,45,997,TROPICAL STORM
14.70,-106.50,06/24/18Z,50,995,TROPICAL STORM
15.60,-107.50,06/25/00Z,55,992,TROPICAL STORM
16.50,-108.90,06/25/06Z,60,990,TROPICAL STORM
17.20,-110.20,06/25/12Z,65,988,HURRICANE-1
17.50,-111.50,06/25/18Z,70,984,HURRICANE-1
17.80,-112.80,06/26/00Z,75,980,HURRICANE-1
18.20,-113.90,06/26/06Z,70,983,HURRICANE-1
18.70,-114.90,06/26/12Z,65,985,TROPICAL STORM
19.10,-115.90,06/26/18Z,60,988,TROPICAL STORM
19.50,-117.10,06/27/00Z,50,993,TROPICAL STORM
19.90,-118.60,06/27/06Z,45,1000,TROPICAL STORM
20.30,-120.20,06/27/12Z,35,1003,LOW
20.70,-121.80,06/27/18Z,30,1004,LOW
21.00,-123.40,06/28/00Z,30,1004,LOW
21.40,-125.00,06/28/06Z,30,1004,LOW
21.70,-126.50,06/28/12Z,30,1006,LOW
21.90,-128.00,06/28/18Z,25,1006,LOW
22.00,-129.50,06/29/00Z,25,1006,LOW
22.10,-131.00,06/29/06Z,25,1006,LOW
22.30,-132.60,06/29/12Z,20,1006,LOW
22.50,-134.20,06/29/18Z,20,1006,LOW
22.70,-135.50,06/30/00Z,20,1007,LOW
22.90,-136.70,06/30/06Z,20,1008,LOW
23.00,-137.80,06/30/12Z,20,1008,LOW
23.10,-138.80,06/30/18Z,20,1010,LOW
