LAT,LON,TIME,WIND,PR,STAT
15.00,-109.10,10/12/18Z,30,1005,TROPICAL DEPRESSION
15.60,-110.00,10/13/00Z,35,1003,TROPICAL STORM
16.60,-111.00,10/13/06Z,40,1000,TROPICAL STORM
17.60,-112.00,10/13/12Z,45,997,TROPICAL STORM
18.80,-112.80,10/13/18Z,55,994,TROPICAL STORM
20.00,-113.40,10/14/00Z,55,994,TROPICAL STORM
21.20,-113.90,10/14/06Z,55,994,TROPICAL STORM
22.40,-113.80,10/14/12Z,50,997,TROPICAL STORM
23.60,-113.40,10/14/18Z,45,999,TROPICAL STORM
24.50,-112.80,10/15/00Z,40,1002,TROPICAL STORM
25.00,-112.20,10/15/05Z,40,1002,TROPICAL STORM
25.10,-112.00,10/15/06Z,40,1002,TROPICAL STORM
25.80,-111.00,10/15/12Z,30,1005,TROPICAL DEPRESSION
26.50,-109.70,10/15/18Z,20,1008,LOW
27.10,-108.80,10/16/00Z,15,1009,LOW
