LAT,LON,TIME,WIND,PR,STAT
7.60,-167.30,08/15/00Z,25,1009,DISTURBANCE
7.80,-168.10,08/15/06Z,25,1008,DISTURBANCE
8.20,-168.90,08/15/12Z,25,1008,DISTURBANCE
8.60,-169.90,08/15/18Z,25,1008,DISTURBANCE
8.90,-170.90,08/16/00Z,25,1007,DISTURBANCE
9.20,-172.00,08/16/06Z,30,1005,TROPICAL DEPRESSION
9.40,-173.10,08/16/12Z,35,1005,TROPICAL STORM
9.70,-174.00,08/16/18Z,35,1005,TROPICAL STORM
10.00,-175.00,08/17/00Z,45,1001,TROPICAL STORM
10.40,-176.00,08/17/06Z,45,999,TROPICAL STORM
10.80,-176.90,08/17/12Z,50,997,TROPICAL STORM
11.20,-177.90,08/17/18Z,55,995,TROPICAL STORM
11.50,-179.00,08/18/00Z,55,995,TROPICAL STORM
11.90,-179.90,08/18/06Z,55,995,TROPICAL STORM
12.50,179.30,08/18/12Z,50,997,TROPICAL STORM
12.90,178.80,08/18/18Z,55,994,TROPICAL STORM
13.30,178.40,08/19/00Z,65,988,HURRICANE-1
13.90,178.00,08/19/06Z,65,987,HURRICANE-1
14.60,177.20,08/19/12Z,60,989,TROPICAL STORM
14.60,176.30,08/19/18Z,55,994,TROPICAL STORM
15.30,175.60,08/20/00Z,50,996,TROPICAL STORM
16.20,174.80,08/20/06Z,45,997,TROPICAL STORM
17.40,174.00,08/20/12Z,45,998,TROPICAL STORM
18.30,172.80,08/20/18Z,45,998,TROPICAL STORM
18.70,171.80,08/21/00Z,45,998,TROPICAL STORM
19.60,171.30,08/21/06Z,35,1001,TROPICAL STORM
20.40,170.60,08/21/12Z,35,1002,TROPICAL STORM
21.20,170.00,08/21/18Z,35,1003,TROPICAL STORM
22.10,169.90,08/22/00Z,30,1005,TROPICAL DEPRESSION
23.20,169.60,08/22/06Z,30,1005,TROPICAL DEPRESSION
24.40,169.30,08/22/12Z,30,1006,TROPICAL DEPRESSION
25.20,169.20,08/22/18Z,30,1006,TROPICAL DEPRESSION
26.20,169.50,08/23/00Z,30,1006,TROPICAL DEPRESSION
26.50,169.50,08/23/06Z,30,1006,TROPICAL DEPRESSION
26.80,169.30,08/23/12Z,30,1006,TROPICAL DEPRESSION
27.10,169.30,08/23/18Z,30,1006,TROPICAL DEPRESSION
27.60,169.30,08/24/00Z,30,1006,TROPICAL DEPRESSION
27.90,168.90,08/24/06Z,25,1007,TROPICAL DEPRESSION
27.90,168.80,08/24/12Z,20,1007,DISTURBANCE
28.20,167.60,08/24/18Z,20,1008,DISTURBANCE
28.30,166.90,08/25/00Z,20,1009,DISTURBANCE
28.40,166.20,08/25/06Z,20,1009,DISTURBANCE
