LAT,LON,TIME,WIND,PR,STAT
10.20,-107.20,05/22/18Z,25,-,TROPICAL DEPRESSION
10.70,-108.00,05/23/06Z,25,-,TROPICAL DEPRESSION
10.80,-108.30,05/23/12Z,30,-,TROPICAL DEPRESSION
10.90,-108.60,05/23/18Z,35,-,TROPICAL STORM
11.10,-108.90,05/24/00Z,45,-,TROPICAL STORM
11.30,-109.40,05/24/06Z,50,-,TROPICAL STORM
11.40,-109.90,05/24/15Z,65,989,HURRICANE-1
11.40,-110.30,05/24/21Z,70,987,HURRICANE-1
11.60,-110.70,05/25/03Z,100,966,HURRICANE-3
11.70,-110.90,05/25/09Z,120,946,HURRICANE-4
11.80,-111.10,05/25/15Z,135,932,HURRICANE-4
12.30,-111.30,05/25/21Z,130,935,HURRICANE-4
12.60,-111.40,05/26/03Z,125,941,HURRICANE-4
13.10,-111.60,05/26/09Z,120,945,HURRICANE-4
13.20,-111.60,05/26/15Z,115,949,HURRICANE-4
13.40,-111.80,05/26/21Z,105,957,HURRICANE-3
13.70,-111.90,05/27/03Z,90,970,HURRICANE-2
14.20,-112.20,05/27/09Z,110,954,HURRICANE-3
14.70,-112.30,05/27/15Z,105,957,HURRICANE-3
15.00,-112.60,05/27/21Z,90,970,HURRICANE-2
14.60,-112.90,05/28/03Z,60,989,TROPICAL STORM
14.50,-112.50,05/28/06Z,60,-,TROPICAL STORM
14.90,-112.20,05/28/12Z,55,-,TROPICAL STORM
15.70,-111.70,05/28/18Z,55,-,TROPICAL STORM
16.10,-111.50,05/29/00Z,45,-,TROPICAL STORM
16.80,-110.90,05/29/09Z,35,1005,TROPICAL STORM
16.20,-110.20,05/29/12Z,30,-,TROPICAL DEPRESSION
16.20,-109.20,05/29/18Z,25,-,TROPICAL DEPRESSION
