LAT,LON,TIME,WIND,PR,STAT
12.80,-143.20,10/13/18Z,30,1007,TROPICAL DEPRESSION
12.70,-142.30,10/14/00Z,35,-,TROPICAL STORM
13.00,-142.70,10/14/06Z,40,-,TROPICAL STORM
13.30,-143.10,10/14/12Z,45,-,TROPICAL STORM
13.80,-143.90,10/14/18Z,55,-,TROPICAL STORM
13.80,-144.80,10/15/00Z,55,-,TROPICAL STORM
13.90,-145.80,10/15/06Z,60,-,TROPICAL STORM
14.20,-146.10,10/15/12Z,60,-,TROPICAL STORM
14.30,-147.00,10/15/18Z,60,-,TROPICAL STORM
14.10,-148.00,10/16/00Z,55,-,TROPICAL STORM
14.00,-148.90,10/15/20Z,55,998,TROPICAL STORM
14.00,-148.90,10/16/06Z,50,-,TROPICAL STORM
13.90,-149.80,10/16/02Z,50,1000,TROPICAL STORM
13.90,-149.80,10/16/12Z,50,-,TROPICAL STORM
14.10,-150.50,10/16/08Z,50,1000,TROPICAL STORM
14.10,-150.40,10/16/18Z,50,-,TROPICAL STORM
14.40,-151.60,10/16/14Z,50,1000,TROPICAL STORM
14.40,-151.40,10/17/00Z,50,-,TROPICAL STORM
14.90,-152.50,10/16/20Z,55,998,TROPICAL STORM
14.90,-152.50,10/17/06Z,55,-,TROPICAL STORM
15.40,-153.70,10/17/02Z,60,994,TROPICAL STORM
15.40,-153.70,10/17/12Z,60,-,TROPICAL STORM
16.10,-154.60,10/17/08Z,60,992,TROPICAL STORM
16.40,-155.20,10/17/11Z,65,990,HURRICANE-1
16.60,-156.20,10/17/14Z,70,989,HURRICANE-1
17.00,-156.60,10/17/17Z,70,986,HURRICANE-1
17.40,-156.90,10/17/20Z,70,986,HURRICANE-1
17.80,-157.40,10/17/23Z,75,985,HURRICANE-1
18.10,-158.00,10/18/02Z,70,987,HURRICANE-1
18.50,-158.10,10/18/05Z,70,986,HURRICANE-1
19.00,-158.50,10/18/08Z,70,988,HURRICANE-1
19.30,-158.90,10/18/11Z,70,988,HURRICANE-1
19.60,-158.90,10/18/14Z,70,989,HURRICANE-1
19.90,-159.20,10/18/17Z,70,987,HURRICANE-1
20.00,-159.10,10/18/19Z,70,987,HURRICANE-1
20.20,-159.30,10/18/21Z,70,987,HURRICANE-1
20.30,-159.50,10/18/23Z,70,989,HURRICANE-1
20.30,-159.50,10/19/01Z,70,989,HURRICANE-1
20.60,-159.70,10/19/03Z,70,989,HURRICANE-1
20.60,-159.70,10/19/05Z,70,989,HURRICANE-1
20.80,-159.90,10/19/07Z,70,989,HURRICANE-1
20.70,-160.10,10/19/09Z,70,992,HURRICANE-1
20.70,-160.60,10/19/11Z,65,992,HURRICANE-1
20.70,-160.60,10/19/13Z,65,992,HURRICANE-1
20.70,-160.90,10/19/15Z,60,994,TROPICAL STORM
20.70,-160.90,10/20/00Z,60,-,TROPICAL STORM
20.70,-161.70,10/19/19Z,60,994,TROPICAL STORM
20.70,-161.90,10/19/21Z,60,995,TROPICAL STORM
20.70,-161.80,10/20/06Z,60,-,TROPICAL STORM
20.60,-162.60,10/20/02Z,60,995,TROPICAL STORM
20.60,-162.80,10/20/12Z,60,-,TROPICAL STORM
20.70,-164.10,10/20/08Z,60,995,TROPICAL STORM
20.70,-163.70,10/20/18Z,55,-,TROPICAL STORM
20.50,-164.00,10/20/14Z,55,996,TROPICAL STORM
20.50,-164.00,10/21/00Z,50,-,TROPICAL STORM
20.70,-164.30,10/20/20Z,50,997,TROPICAL STORM
20.80,-164.40,10/21/06Z,45,-,TROPICAL STORM
20.80,-165.40,10/21/02Z,45,999,TROPICAL STORM
20.80,-164.40,10/21/06Z,45,-,TROPICAL STORM
21.10,-165.80,10/21/08Z,45,1000,TROPICAL STORM
20.90,-165.70,10/21/18Z,35,-,TROPICAL STORM
21.50,-166.10,10/21/14Z,35,1005,TROPICAL STORM
21.60,-166.10,10/22/00Z,35,-,TROPICAL STORM
22.10,-166.80,10/21/20Z,35,1005,TROPICAL STORM
22.10,-166.80,10/22/06Z,35,-,TROPICAL STORM
22.40,-167.10,10/22/02Z,35,1005,TROPICAL STORM
22.40,-167.10,10/22/12Z,35,-,TROPICAL STORM
23.20,-167.50,10/22/08Z,35,1005,TROPICAL STORM
23.40,-167.30,10/22/18Z,35,-,TROPICAL STORM
24.20,-167.70,10/22/14Z,35,1005,TROPICAL STORM
24.40,-167.70,10/23/00Z,35,-,TROPICAL STORM
25.10,-168.20,10/22/20Z,35,1005,TROPICAL STORM
25.10,-168.20,10/23/06Z,35,-,TROPICAL STORM
26.00,-168.60,10/23/02Z,45,996,TROPICAL STORM
26.20,-168.70,10/23/12Z,45,-,TROPICAL STORM
26.70,-169.50,10/23/08Z,45,998,TROPICAL STORM
26.70,-169.50,10/23/18Z,45,-,TROPICAL STORM
27.00,-169.80,10/24/00Z,45,-,TROPICAL STORM
27.60,-170.30,10/24/06Z,45,-,TROPICAL STORM
28.20,-169.90,10/24/12Z,50,-,TROPICAL STORM
28.90,-169.60,10/24/18Z,55,-,TROPICAL STORM
31.00,-167.80,10/24/17Z,65,988,HURRICANE-1
32.40,-165.80,10/24/23Z,65,987,HURRICANE-1
34.30,-163.40,10/25/05Z,65,987,HURRICANE-1
36.30,-160.90,10/25/11Z,65,987,HURRICANE-1
37.00,-159.10,10/26/00Z,60,-,TROPICAL STORM
39.10,-154.90,10/26/06Z,55,-,TROPICAL STORM
41.20,-150.20,10/26/12Z,50,-,TROPICAL STORM
