LAT,LON,TIME,WIND,PR,STAT
14.30,-102.40,09/10/06Z,30,-,TROPICAL DEPRESSION
14.80,-102.80,09/10/12Z,35,-,TROPICAL STORM
15.20,-103.10,09/10/18Z,35,-,TROPICAL STORM
15.50,-103.40,09/11/00Z,40,-,TROPICAL STORM
15.60,-103.60,09/11/06Z,40,1001,TROPICAL STORM
15.50,-103.90,09/11/06Z,45,-,TROPICAL STORM
15.50,-104.10,09/11/12Z,45,999,TROPICAL STORM
15.50,-104.10,09/11/12Z,45,-,TROPICAL STORM
15.10,-104.40,09/11/18Z,45,999,TROPICAL STORM
15.20,-104.40,09/11/18Z,50,-,TROPICAL STORM
15.50,-104.60,09/12/00Z,50,997,TROPICAL STORM
15.50,-104.60,09/12/00Z,50,-,TROPICAL STORM
15.50,-104.70,09/12/06Z,50,996,TROPICAL STORM
15.40,-104.80,09/12/06Z,50,-,TROPICAL STORM
15.50,-105.00,09/12/12Z,50,996,TROPICAL STORM
15.50,-104.90,09/12/12Z,55,-,TROPICAL STORM
15.40,-104.90,09/12/18Z,55,994,TROPICAL STORM
15.60,-104.80,09/12/18Z,55,-,TROPICAL STORM
16.00,-105.10,09/13/00Z,55,994,TROPICAL STORM
16.10,-105.10,09/13/00Z,55,-,TROPICAL STORM
16.30,-105.50,09/13/06Z,55,994,TROPICAL STORM
16.20,-105.40,09/13/06Z,60,-,TROPICAL STORM
16.60,-105.80,09/13/12Z,65,983,HURRICANE-1
16.60,-106.00,09/13/15Z,70,980,HURRICANE-1
16.60,-106.00,09/13/18Z,75,977,HURRICANE-1
17.00,-106.20,09/13/21Z,80,971,HURRICANE-1
17.30,-106.30,09/14/00Z,85,968,HURRICANE-2
17.90,-106.50,09/14/03Z,95,962,HURRICANE-2
18.40,-106.90,09/14/06Z,105,952,HURRICANE-3
19.10,-107.30,09/14/09Z,115,941,HURRICANE-4
19.30,-107.70,09/14/12Z,115,941,HURRICANE-4
20.00,-108.20,09/14/15Z,115,941,HURRICANE-4
20.50,-108.50,09/14/18Z,115,941,HURRICANE-4
21.10,-108.90,09/14/21Z,110,922,HURRICANE-3
21.90,-109.00,09/15/00Z,110,925,HURRICANE-3
22.60,-109.60,09/15/03Z,110,930,HURRICANE-3
23.10,-110.00,09/15/06Z,105,934,HURRICANE-3
23.70,-110.40,09/15/09Z,100,942,HURRICANE-3
24.20,-110.80,09/15/12Z,95,945,HURRICANE-2
24.70,-111.30,09/15/15Z,85,955,HURRICANE-2
25.10,-111.60,09/15/18Z,80,965,HURRICANE-1
25.50,-111.80,09/15/21Z,70,975,HURRICANE-1
26.10,-111.90,09/16/00Z,65,980,HURRICANE-1
26.20,-111.90,09/16/00Z,60,-,TROPICAL STORM
27.00,-112.50,09/16/06Z,55,990,TROPICAL STORM
27.00,-112.50,09/16/06Z,55,-,TROPICAL STORM
28.10,-113.00,09/16/12Z,50,994,TROPICAL STORM
28.00,-113.00,09/16/12Z,50,-,TROPICAL STORM
28.80,-113.50,09/16/18Z,45,997,TROPICAL STORM
28.80,-113.50,09/16/18Z,45,-,TROPICAL STORM
29.40,-113.60,09/17/00Z,45,994,TROPICAL STORM
29.40,-113.60,09/17/00Z,45,-,TROPICAL STORM
30.00,-113.60,09/17/06Z,45,994,TROPICAL STORM
29.90,-113.60,09/17/06Z,45,-,TROPICAL STORM
30.40,-113.40,09/17/12Z,40,997,TROPICAL STORM
30.40,-113.40,09/17/12Z,40,-,TROPICAL STORM
30.80,-113.00,09/17/18Z,30,1004,TROPICAL DEPRESSION
30.90,-112.90,09/17/18Z,30,-,TROPICAL DEPRESSION
