LAT,LON,TIME,WIND,PR,STAT
15.00,-105.50,09/24/15Z,30,1006,TROPICAL DEPRESSION
15.10,-106.80,09/24/21Z,30,1006,TROPICAL DEPRESSION
15.10,-106.90,09/25/00Z,35,-,TROPICAL STORM
15.70,-108.10,09/25/06Z,35,-,TROPICAL STORM
16.10,-109.10,09/25/12Z,45,-,TROPICAL STORM
16.70,-110.30,09/25/18Z,45,-,TROPICAL STORM
17.40,-111.40,09/26/00Z,45,-,TROPICAL STORM
17.80,-112.50,09/26/06Z,45,-,TROPICAL STORM
18.10,-113.70,09/26/12Z,45,-,TROPICAL STORM
17.90,-114.70,09/26/18Z,45,-,TROPICAL STORM
18.10,-115.10,09/27/00Z,55,-,TROPICAL STORM
18.80,-115.60,09/27/06Z,55,-,TROPICAL STORM
19.30,-116.10,09/27/12Z,55,-,TROPICAL STORM
20.30,-116.50,09/27/21Z,65,989,HURRICANE-1
20.70,-116.60,09/28/03Z,75,982,HURRICANE-1
21.10,-117.00,09/28/09Z,75,981,HURRICANE-1
21.50,-117.20,09/28/15Z,70,984,HURRICANE-1
21.70,-117.40,09/28/21Z,65,986,HURRICANE-1
22.50,-117.60,09/29/03Z,65,985,HURRICANE-1
22.80,-117.50,09/29/09Z,65,985,HURRICANE-1
22.50,-117.50,09/29/12Z,50,-,TROPICAL STORM
22.80,-117.50,09/29/18Z,45,-,TROPICAL STORM
23.20,-117.50,09/30/00Z,45,-,TROPICAL STORM
23.20,-117.50,09/30/06Z,35,-,TROPICAL STORM
23.20,-117.50,09/30/12Z,30,-,TROPICAL DEPRESSION
23.00,-117.50,09/30/18Z,30,-,TROPICAL DEPRESSION
23.00,-117.50,09/30/18Z,30,-,TROPICAL DEPRESSION
