LAT,LON,TIME,WIND,PR,STAT
15.60,-119.20,09/11/12Z,30,-,TROPICAL DEPRESSION
16.10,-119.40,09/11/15Z,30,1006,TROPICAL DEPRESSION
16.30,-120.20,09/11/21Z,30,1006,TROPICAL DEPRESSION
16.60,-120.00,09/12/03Z,30,1006,TROPICAL DEPRESSION
16.60,-120.20,09/12/09Z,30,1006,TROPICAL DEPRESSION
16.60,-120.00,09/12/15Z,30,1006,TROPICAL DEPRESSION
16.90,-119.10,09/12/21Z,30,1007,TROPICAL DEPRESSION
16.60,-118.10,09/13/03Z,30,1007,TROPICAL DEPRESSION
16.50,-117.50,09/13/09Z,30,1007,TROPICAL DEPRESSION
16.00,-117.20,09/13/15Z,30,1007,TROPICAL DEPRESSION
15.50,-116.80,09/13/21Z,30,1007,TROPICAL DEPRESSION
15.10,-116.10,09/14/03Z,30,1007,TROPICAL DEPRESSION
14.90,-115.30,09/14/09Z,30,1007,TROPICAL DEPRESSION
15.00,-113.90,09/14/15Z,30,1006,TROPICAL DEPRESSION
15.60,-113.40,09/14/21Z,30,1006,TROPICAL DEPRESSION
