LAT,LON,TIME,WIND,PR,STAT
9.90,-117.10,10/15/00Z,30,-,TROPICAL DEPRESSION
10.30,-118.50,10/15/06Z,30,-,TROPICAL DEPRESSION
10.20,-119.80,10/15/12Z,30,-,TROPICAL DEPRESSION
10.20,-120.30,10/15/18Z,30,-,TROPICAL DEPRESSION
10.20,-121.50,10/16/00Z,30,-,TROPICAL DEPRESSION
10.20,-122.90,10/16/06Z,25,-,TROPICAL DEPRESSION
9.70,-124.50,10/16/12Z,25,-,TROPICAL DEPRESSION
9.60,-125.60,10/16/18Z,30,-,TROPICAL DEPRESSION
9.70,-127.00,10/17/00Z,35,-,TROPICAL STORM
9.50,-128.00,10/17/06Z,45,-,TROPICAL STORM
9.40,-129.00,10/17/12Z,50,-,TROPICAL STORM
9.20,-130.00,10/17/18Z,50,-,TROPICAL STORM
9.10,-130.60,10/18/00Z,55,-,TROPICAL STORM
9.30,-131.40,10/18/06Z,65,-,HURRICANE-1
9.40,-132.60,10/18/12Z,65,-,HURRICANE-1
9.60,-133.90,10/18/18Z,70,-,HURRICANE-1
9.60,-135.00,10/19/00Z,85,-,HURRICANE-2
9.80,-136.00,10/19/06Z,85,-,HURRICANE-2
10.00,-137.20,10/19/12Z,95,-,HURRICANE-2
10.00,-138.20,10/19/18Z,115,-,HURRICANE-4
10.00,-139.10,10/20/00Z,115,-,HURRICANE-4
10.30,-140.00,10/20/06Z,130,-,HURRICANE-4
10.60,-141.30,10/20/05Z,130,938,HURRICANE-4
10.80,-142.10,10/20/11Z,130,938,HURRICANE-4
11.10,-143.10,10/20/17Z,125,943,HURRICANE-4
11.50,-143.80,10/20/23Z,115,952,HURRICANE-4
11.90,-144.40,10/21/05Z,105,958,HURRICANE-3
12.10,-145.10,10/21/11Z,105,958,HURRICANE-3
12.60,-145.60,10/21/17Z,105,958,HURRICANE-3
13.10,-146.10,10/21/23Z,105,957,HURRICANE-3
13.50,-146.30,10/22/05Z,100,961,HURRICANE-3
13.80,-146.40,10/22/11Z,95,963,HURRICANE-2
14.50,-146.30,10/22/17Z,95,963,HURRICANE-2
15.10,-146.30,10/22/23Z,100,958,HURRICANE-3
15.90,-146.20,10/23/05Z,105,953,HURRICANE-3
17.10,-146.30,10/23/11Z,105,958,HURRICANE-3
18.20,-145.80,10/23/17Z,105,956,HURRICANE-3
18.70,-145.60,10/23/23Z,105,957,HURRICANE-3
19.30,-145.30,10/24/05Z,105,955,HURRICANE-3
19.80,-145.00,10/24/11Z,95,964,HURRICANE-2
20.70,-144.30,10/24/17Z,85,970,HURRICANE-2
21.20,-143.80,10/24/23Z,80,974,HURRICANE-1
21.60,-143.60,10/25/05Z,80,974,HURRICANE-1
22.50,-143.20,10/25/11Z,80,974,HURRICANE-1
23.50,-142.50,10/25/17Z,70,980,HURRICANE-1
23.70,-142.40,10/26/06Z,60,-,TROPICAL STORM
24.30,-141.80,10/26/12Z,50,-,TROPICAL STORM
25.30,-139.50,10/26/18Z,50,-,TROPICAL STORM
26.00,-138.00,10/27/00Z,45,-,TROPICAL STORM
26.20,-136.60,10/27/06Z,40,-,TROPICAL STORM
26.50,-135.50,10/27/12Z,40,-,TROPICAL STORM
