LAT,LON,TIME,WIND,PR,STAT
13.30,-94.40,10/20/15Z,30,1006,TROPICAL DEPRESSION
13.20,-94.80,10/20/21Z,30,1006,TROPICAL DEPRESSION
13.20,-95.30,10/21/03Z,35,1004,TROPICAL STORM
13.00,-96.00,10/21/09Z,35,1004,TROPICAL STORM
12.90,-97.50,10/21/15Z,35,1004,TROPICAL STORM
13.10,-99.50,10/21/21Z,50,995,TROPICAL STORM
13.50,-100.50,10/22/03Z,55,994,TROPICAL STORM
14.30,-102.30,10/22/09Z,75,980,HURRICANE-1
14.90,-103.80,10/22/15Z,85,973,HURRICANE-2
15.00,-104.00,10/22/18Z,115,958,HURRICANE-4
15.40,-104.60,10/22/21Z,115,953,HURRICANE-4
16.20,-105.10,10/23/03Z,140,924,HURRICANE-5
16.50,-105.30,10/23/06Z,160,892,HURRICANE-5
17.00,-105.50,10/23/09Z,175,880,HURRICANE-5
17.60,-105.50,10/23/15Z,175,880,HURRICANE-5
18.90,-105.20,10/23/21Z,165,900,HURRICANE-5
20.20,-104.60,10/24/03Z,115,946,HURRICANE-4
22.30,-103.10,10/24/09Z,65,986,HURRICANE-1
23.90,-101.60,10/24/15Z,30,1002,TROPICAL DEPRESSION
25.30,-100.60,10/24/21Z,25,1004,TROPICAL DEPRESSION
