LAT,LON,TIME,WIND,PR,STAT
15.60,-119.70,09/25/12Z,30,1006,TROPICAL DEPRESSION
16.10,-119.60,09/25/18Z,30,1005,TROPICAL DEPRESSION
16.70,-120.10,09/26/00Z,30,1005,TROPICAL DEPRESSION
16.80,-119.50,09/26/06Z,35,1005,TROPICAL STORM
17.00,-119.40,09/26/12Z,35,1005,TROPICAL STORM
16.80,-118.80,09/26/18Z,45,1000,TROPICAL STORM
17.20,-118.40,09/27/00Z,45,1000,TROPICAL STORM
17.80,-117.70,09/27/06Z,40,1003,TROPICAL STORM
18.30,-117.30,09/27/12Z,40,1003,TROPICAL STORM
18.80,-116.60,09/27/18Z,40,1003,TROPICAL STORM
19.50,-115.90,09/28/00Z,35,1004,TROPICAL STORM
20.20,-115.50,09/28/06Z,35,1005,TROPICAL STORM
21.00,-115.20,09/28/12Z,30,1007,TROPICAL DEPRESSION
21.60,-115.20,09/28/18Z,30,1007,TROPICAL DEPRESSION
22.10,-115.10,09/29/00Z,30,1007,TROPICAL DEPRESSION
22.70,-115.30,09/29/06Z,25,1008,TROPICAL DEPRESSION
