LAT,LON,TIME,WIND,PR,STAT
11.60,-139.60,09/26/12Z,30,1005,TROPICAL DEPRESSION
11.60,-140.40,09/26/18Z,30,1005,TROPICAL DEPRESSION
11.80,-140.30,09/27/00Z,30,1005,TROPICAL DEPRESSION
12.10,-140.40,09/27/06Z,35,1004,TROPICAL STORM
12.40,-140.00,09/27/12Z,45,999,TROPICAL STORM
12.70,-139.60,09/27/18Z,50,997,TROPICAL STORM
13.30,-139.10,09/28/00Z,55,997,TROPICAL STORM
13.90,-139.00,09/28/06Z,65,992,HURRICANE-1
14.50,-138.70,09/28/12Z,60,995,TROPICAL STORM
15.10,-138.70,09/28/18Z,45,1001,TROPICAL STORM
15.80,-138.90,09/29/00Z,45,1001,TROPICAL STORM
16.00,-139.10,09/29/06Z,45,1001,TROPICAL STORM
16.70,-139.70,09/29/12Z,40,1003,TROPICAL STORM
17.20,-140.20,09/29/18Z,35,1006,TROPICAL STORM
17.70,-141.00,09/30/00Z,35,1006,TROPICAL STORM
18.00,-141.70,09/30/06Z,30,1010,TROPICAL DEPRESSION
