LAT,LON,TIME,WIND,PR,STAT
9.00,-93.50,07/21/12Z,30,1008,TROPICAL DEPRESSION
9.00,-94.70,07/21/18Z,30,1008,TROPICAL DEPRESSION
9.40,-95.70,07/22/00Z,30,1006,TROPICAL DEPRESSION
9.60,-96.60,07/22/06Z,30,1006,TROPICAL DEPRESSION
10.00,-98.20,07/22/12Z,30,1006,TROPICAL DEPRESSION
10.50,-99.30,07/22/18Z,30,1006,TROPICAL DEPRESSION
11.50,-100.20,07/23/00Z,35,1005,TROPICAL STORM
12.50,-101.60,07/23/06Z,35,1005,TROPICAL STORM
12.70,-102.30,07/23/12Z,40,1003,TROPICAL STORM
13.20,-102.90,07/23/18Z,50,999,TROPICAL STORM
13.60,-103.50,07/24/00Z,60,997,TROPICAL STORM
14.00,-103.80,07/24/06Z,65,990,HURRICANE-1
14.10,-104.20,07/24/12Z,70,989,HURRICANE-1
14.50,-104.90,07/24/18Z,75,986,HURRICANE-1
15.00,-105.70,07/25/00Z,85,982,HURRICANE-2
15.30,-106.70,07/25/06Z,90,975,HURRICANE-2
15.30,-107.80,07/25/12Z,90,975,HURRICANE-2
15.50,-108.80,07/25/18Z,90,974,HURRICANE-2
16.00,-109.80,07/26/00Z,90,973,HURRICANE-2
16.30,-111.00,07/26/06Z,90,973,HURRICANE-2
16.40,-112.30,07/26/12Z,90,973,HURRICANE-2
16.70,-113.20,07/26/18Z,90,972,HURRICANE-2
17.10,-114.20,07/27/00Z,85,976,HURRICANE-2
17.30,-115.10,07/27/06Z,75,981,HURRICANE-1
17.60,-116.00,07/27/12Z,70,986,HURRICANE-1
17.90,-116.60,07/27/18Z,65,989,HURRICANE-1
18.30,-117.30,07/28/00Z,60,992,TROPICAL STORM
18.70,-117.90,07/28/06Z,60,992,TROPICAL STORM
19.20,-118.40,07/28/12Z,55,996,TROPICAL STORM
19.70,-119.20,07/28/18Z,55,996,TROPICAL STORM
20.30,-120.10,07/29/00Z,60,992,TROPICAL STORM
20.70,-120.80,07/29/06Z,55,996,TROPICAL STORM
21.40,-121.50,07/29/12Z,55,996,TROPICAL STORM
22.30,-122.50,07/29/18Z,50,998,TROPICAL STORM
22.90,-123.70,07/30/00Z,50,999,TROPICAL STORM
23.50,-124.70,07/30/06Z,40,1003,TROPICAL STORM
23.90,-125.70,07/30/12Z,35,1005,TROPICAL STORM
25.00,-127.20,07/30/18Z,35,1005,TROPICAL STORM
