LAT,LON,TIME,WIND,PR,STAT
14.80,-116.50,08/18/12Z,30,1006,TROPICAL DEPRESSION
14.80,-117.90,08/18/18Z,30,1006,TROPICAL DEPRESSION
15.00,-119.10,08/19/00Z,35,1005,TROPICAL STORM
15.60,-120.20,08/19/06Z,35,1005,TROPICAL STORM
15.80,-121.80,08/19/12Z,40,1003,TROPICAL STORM
15.90,-123.80,08/19/18Z,55,997,TROPICAL STORM
16.20,-125.30,08/20/00Z,60,996,TROPICAL STORM
16.00,-126.10,08/20/06Z,60,996,TROPICAL STORM
16.30,-127.40,08/20/12Z,65,990,HURRICANE-1
16.20,-128.40,08/20/18Z,80,980,HURRICANE-1
16.80,-129.10,08/21/00Z,100,964,HURRICANE-3
17.40,-130.00,08/21/06Z,115,952,HURRICANE-4
17.90,-130.90,08/21/12Z,110,957,HURRICANE-3
18.30,-131.60,08/21/18Z,105,960,HURRICANE-3
19.20,-132.10,08/22/00Z,90,969,HURRICANE-2
20.00,-132.50,08/22/06Z,80,978,HURRICANE-1
20.90,-133.10,08/22/12Z,70,984,HURRICANE-1
21.80,-133.60,08/22/18Z,60,990,TROPICAL STORM
22.60,-134.00,08/23/00Z,55,996,TROPICAL STORM
23.50,-134.30,08/23/06Z,50,999,TROPICAL STORM
24.60,-135.10,08/23/12Z,35,1006,TROPICAL STORM
