LAT,LON,TIME,WIND,PR,STAT
11.00,148.30,06/20/00Z,20,-,TROPICAL DEPRESSION
10.90,147.70,06/20/06Z,20,-,TROPICAL DEPRESSION
10.80,147.40,06/20/12Z,25,-,TROPICAL DEPRESSION
10.70,147.00,06/20/18Z,25,-,TROPICAL DEPRESSION
10.60,146.60,06/21/00Z,30,-,TROPICAL DEPRESSION
10.50,146.00,06/21/06Z,35,-,TROPICAL STORM
10.30,145.10,06/21/12Z,35,-,TROPICAL STORM
9.70,144.30,06/21/18Z,35,-,TROPICAL STORM
8.80,143.60,06/22/00Z,35,-,TROPICAL STORM
8.00,143.00,06/22/06Z,40,-,TROPICAL STORM
7.50,142.50,06/22/12Z,45,-,TROPICAL STORM
7.20,141.80,06/22/18Z,50,-,TROPICAL STORM
7.20,141.10,06/23/00Z,55,-,TROPICAL STORM
7.50,140.20,06/23/06Z,60,-,TROPICAL STORM
8.10,139.10,06/23/12Z,65,-,TYPHOON-1
8.50,137.90,06/23/18Z,70,-,TYPHOON-1
9.00,136.60,06/24/00Z,80,-,TYPHOON-1
9.70,135.10,06/24/06Z,85,-,TYPHOON-2
10.40,133.70,06/24/12Z,90,-,TYPHOON-2
11.10,132.40,06/24/18Z,100,-,TYPHOON-3
11.70,131.20,06/25/00Z,110,-,TYPHOON-3
12.40,130.00,06/25/06Z,115,-,TYPHOON-4
13.10,128.90,06/25/12Z,115,-,TYPHOON-4
13.80,127.80,06/25/18Z,110,-,TYPHOON-3
14.60,126.70,06/26/00Z,105,-,TYPHOON-3
15.30,125.70,06/26/06Z,105,-,TYPHOON-3
15.90,124.70,06/26/12Z,100,-,TYPHOON-3
16.50,123.80,06/26/18Z,100,-,TYPHOON-3
17.20,122.90,06/27/00Z,95,-,TYPHOON-2
18.00,122.00,06/27/06Z,85,-,TYPHOON-2
19.00,120.80,06/27/12Z,75,-,TYPHOON-1
19.80,119.80,06/27/18Z,75,-,TYPHOON-1
20.50,119.00,06/28/00Z,80,-,TYPHOON-1
21.20,118.50,06/28/06Z,80,-,TYPHOON-1
21.90,118.00,06/28/12Z,80,-,TYPHOON-1
22.40,117.70,06/28/18Z,80,-,TYPHOON-1
22.90,117.40,06/29/00Z,75,-,TYPHOON-1
23.50,117.20,06/29/06Z,70,-,TYPHOON-1
24.10,117.20,06/29/12Z,60,-,TROPICAL STORM
24.80,117.30,06/29/18Z,45,-,TROPICAL STORM
25.70,117.50,06/30/00Z,35,-,TROPICAL STORM
26.90,118.00,06/30/06Z,25,-,TROPICAL DEPRESSION
28.00,119.00,06/30/12Z,20,-,TROPICAL DEPRESSION
29.30,120.30,06/30/18Z,20,-,TROPICAL DEPRESSION
30.10,121.80,07/01/00Z,15,-,TROPICAL DEPRESSION
