LAT,LON,TIME,WIND,PR,STAT
15.00,124.80,07/15/18Z,25,-,TROPICAL DEPRESSION
15.30,124.50,07/16/00Z,25,-,TROPICAL DEPRESSION
15.60,124.20,07/16/06Z,25,-,TROPICAL DEPRESSION
16.30,123.60,07/16/12Z,25,-,TROPICAL DEPRESSION
17.10,123.10,07/16/18Z,25,-,TROPICAL DEPRESSION
18.10,122.40,07/17/00Z,30,-,TROPICAL DEPRESSION
19.50,121.20,07/17/06Z,35,-,TROPICAL STORM
20.20,119.90,07/17/12Z,35,-,TROPICAL STORM
21.50,118.10,07/17/18Z,40,-,TROPICAL STORM
22.70,117.30,07/18/00Z,40,-,TROPICAL STORM
23.10,116.80,07/18/06Z,40,-,TROPICAL STORM
23.50,117.10,07/18/12Z,35,-,TROPICAL STORM
